#,Player,Country,Team,Assists
1,Steven Gerrard,England, Liverpool FC,14
2,Luis Suárez,Uruguay, Liverpool FC,13
3,David Silva,Spain, Manchester City,10
,Rickie Lambert,England, Southampton FC,10
,Wayne Rooney,England, Manchester United,10
6,Christian Eriksen,Denmark, Tottenham Hotspur,9
,Mesut Özil,Germany, Arsenal FC,9
,Yaya Touré,Ivory Coast, Manchester City,9
9,Olivier Giroud,France, Arsenal FC,8
,Samir Nasri,France, Manchester City,8
11,Marko Arnautović,Austria, Stoke City,7
,Coutinho,Brazil, Liverpool FC,7
,Steven Davis,Northern Ireland, Southampton FC,7
,Eden Hazard,Belgium, Chelsea FC,7
,Jesús Navas,Spain, Manchester City,7
,Aleksandar Kolarov,Serbia, Manchester City,7
,Adam Lallana,England, Southampton FC,7
,Kevin Mirallas,Belgium, Everton FC,7
,Pablo Hernández,Spain, Swansea City,7
,Aaron Ramsey,Wales, Arsenal FC,7
,Santi Cazorla,Spain, Arsenal FC,7
,Daniel Sturridge,England, Liverpool FC,7
23,Gabriel Agbonlahor,England, Aston Villa,6
,Kun Agüero,Argentina, Manchester City,6
,Jordan Henderson,England, Liverpool FC,6
,Adam Johnson,England, Sunderland AFC,6
,Romelu Lukaku,Belgium, Chelsea FC,6
,,, Everton FC,
,Jonjo Shelvey,England, Swansea City,6
,Moussa Sissoko,France, Newcastle United,6
,Raheem Sterling,England, Liverpool FC,6
,Peter Whittingham,England, Cardiff City,6
,Pablo Zabaleta,Argentina, Manchester City,6
33,Chris Brunt,Northern Ireland, West Bromwich Albion,5
,Peter Crouch,England, Stoke City,5
,Jonathan de Guzmán,Netherlands, Swansea City,5
,Fernando Torres,Spain, Chelsea FC,5
,Mata,Spain, Chelsea FC,5
,,, Manchester United,
,James Milner,England, Manchester City,5
,Jordon Mutch,England, Cardiff City,5
,Kevin Nolan,England, West Ham United,5
,Jack Wilshere,England, Arsenal FC,5
42,Charlie Adam,Scotland, Stoke City,4
,Emmanuel Adebayor,Togo, Tottenham Hotspur,4
