#,Player,Country,Team,Assists
,Marc Albrighton,England, Aston Villa,4
,Leighton Baines,England, Everton FC,4
,Yannick Bolasie,Congo DR, Crystal Palace,4
,Wilfried Bony,Ivory Coast, Swansea City,4
,Nathaniel Clyne,England, Southampton FC,4
,Edin Džeko,Bosnia-Herzegovina, Manchester City,4
,Johan Elmander,Sweden, Norwich City,4
,Samuel Eto'o,Cameroon, Chelsea FC,4
,Emanuele Giaccherini,Italy, Sunderland AFC,4
,Aaron Lennon,England, Tottenham Hotspur,4
,Jake Livermore,England, Hull City,4
,Nemanja Matić,Serbia, Chelsea FC,4
,Oscar,Brazil, Chelsea FC,4
,Leon Osman,England, Everton FC,4
,Wayne Routledge,England, Swansea City,4
,Theo Walcott,England, Arsenal FC,4
60,Sone Aluko,Nigeria, Hull City,3
,Álvaro Negredo,Spain, Manchester City,3
,Morgan Amalfitano,France, West Bromwich Albion,3
,Victor Anichebe,Nigeria, Everton FC,3
,,, West Bromwich Albion,
,Gareth Barry,England, Everton FC,3
,Hatem Ben Arfa,France, Newcastle United,3
,Yohan Cabaye,France, Newcastle United,3
,Fraizer Campbell,England, Cardiff City,3
,Nacer Chadli,Belgium, Tottenham Hotspur,3
,Patrice Evra,France, Manchester United,3
,Fernandinho,Brazil, Manchester City,3
,Gerard Deulofeu,Spain, Everton FC,3
,Yoan Gouffran,France, Newcastle United,3
,Javier Hernández,Mexico, Manchester United,3
,Lewis Holtby,Germany, Fulham FC,3
,,, Tottenham Hotspur,
,Gary Hooper,England, Norwich City,3
,Tom Huddlestone,England, Hull City,3
,Adnan Januzaj,Belgium, Manchester United,3
,Shinji Kagawa,Japan, Manchester United,3
,Sebastian Larsson,Sweden, Sunderland AFC,3
,James McCarthy,Ireland, Everton FC,3
,James Morrison,Scotland, West Bromwich Albion,3
,Mark Noble,England, West Ham United,3
,Lukas Podolski,Germany, Arsenal FC,3
,Ramires,Brazil, Chelsea FC,3
,Gastón Ramírez,Uruguay, Southampton FC,3
,Nathan Redmond,England, Norwich City,3
,Loïc Rémy,France, Newcastle United,3
,Kieran Richardson,England, Fulham FC,3
,Jay Rodriguez,England, Southampton FC,3
,Bryan Ruiz,Costa Rica, Fulham FC,3
,Soldado,Spain, Tottenham Hotspur,3
,Antonio Valencia,Ecuador, Manchester United,3
,Robin van Persie,Netherlands, Manchester United,3
,Matěj Vydra,Czech Republic, West Bromwich Albion,3
,Andreas Weimann,Austria, Aston Villa,3
96,Jozy Altidore,USA, Sunderland AFC,2
,Demba Ba,Senegal, Chelsea FC,2
,Darren Bent,England, Fulham FC,2
,Christian Benteke,Belgium, Aston Villa,2
,Fabio Borini,Italy, Liverpool FC,2
,,, Sunderland AFC,
,George Boyd,Scotland, Hull City,2
,Andy Carroll,England, West Ham United,2
,Marouane Chamakh,Morocco, Crystal Palace,2
,Papiss Demba Cissé,Senegal, Newcastle United,2
,Jack Colback,England, Sunderland AFC,2
,Ashley Cole,England, Chelsea FC,2
,Don Cowie,Scotland, Cardiff City,2
,Craig Dawson,England, West Bromwich Albion,2
,Mathieu Debuchy,France, Newcastle United,2
,Ashkan Dejagah,Iran, Fulham FC,2
,Fabian Delph,England, Aston Villa,2
,Momo Diamé,Senegal, West Ham United,2
,Stewart Downing,England, West Ham United,2
,Damien Duff,Ireland, Fulham FC,2
,Nathan Dyer,England, Swansea City,2
,Ahmed Elmohamady,Egypt, Hull City,2
,Jon Flanagan,England, Liverpool FC,2
,Craig Gardner,England, Sunderland AFC,2
,Aron Gunnarsson,Iceland, Cardiff City,2
,Stephen Ireland,Ireland, Stoke City,2
,Matthew Jarvis,England, West Ham United,2
,Carl Jenkinson,England, Arsenal FC,2
,Cameron Jerome,England, Crystal Palace,2
,,, Stoke City,
,Glen Johnson,England, Liverpool FC,2
,Phil Jones,England, Manchester United,2
,José Enrique,Spain, Liverpool FC,2
,Alexander Kačaniklić,Sweden, Fulham FC,2
,Roland Lamah,Belgium, Swansea City,2
,Frank Lampard,England, Chelsea FC,2
,Shane Long,Ireland, Hull City,2
,,, West Bromwich Albion,
,Matthew Lowton,England, Aston Villa,2
,Modibo Maïga,Mali, West Ham United,2
,Michu,Spain, Swansea City,2
,Ravel Morrison,Jamaica, West Ham United,2
,Youssuf Mulumbu,Congo DR, West Bromwich Albion,2
,Steven Naismith,Scotland, Everton FC,2
,Peter Odemwingie,Nigeria, Cardiff City,2
,,, Stoke City,
,Bryan Oviedo,Costa Rica, Everton FC,2
,Paulinho,Brazil, Tottenham Hotspur,2
,Steven Pienaar,South Africa, Everton FC,2
,Erik Pieters,Netherlands, Stoke City,2
,Jason Puncheon,England, Crystal Palace,2
,Liam Ridgewell,England, West Bromwich Albion,2
,Sascha Riether,Germany, Fulham FC,2
,Hugo Rodallega,Colombia, Fulham FC,2
,Danny Rose,England, Tottenham Hotspur,2
,Liam Rosenior,England, Hull City,2
,Yannick Sagbo,Ivory Coast, Hull City,2
,Bacary Sagna,France, Arsenal FC,2
,André Schürrle,Germany, Chelsea FC,2
,Steven Sidwell,England, Fulham FC,2
,Robert Snodgrass,Scotland, Norwich City,2
,Kolo Touré,Ivory Coast, Liverpool FC,2
,Kyle Walker,England, Tottenham Hotspur,2
,Jon Walters,Ireland, Stoke City,2
,Joel Ward,England, Crystal Palace,2
,James Ward-Prowse,England, Southampton FC,2
,Danny Welbeck,England, Manchester United,2
,Ashley Westwood,England, Aston Villa,2
160,Daniel Agger,Denmark, Liverpool FC,1
,Álvaro,Spain, Swansea City,1
,Àngel Rangel,Spain, Swansea City,1
,Vurnon Anita,Netherlands, Newcastle United,1
,Leandro Bacuna,Curaçao, Aston Villa,1
,Barry Bannan,Scotland, Crystal Palace,1
,Craig Bellamy,Wales, Cardiff City,1
,Nabil Bentaleb,Algeria, Tottenham Hotspur,1
,Saido Berahino,Burundi, West Bromwich Albion,1
,Dimitar Berbatov,Bulgaria, Fulham FC,1
,Artur Boruc,Poland, Southampton FC,1
,Jordan Bowery,England, Aston Villa,1
,Robbie Brady,Ireland, Hull City,1
,Leon Britton,England, Swansea City,1
,Wes Brown,England, Sunderland AFC,1
,Alex Bruce,Northern Ireland, Hull City,1
,Gary Cahill,England, Chelsea FC,1
,Geoff Cameron,USA, Stoke City,1
,Campaña,Spain, Crystal Palace,1
,Aly Cissokho,France, Liverpool FC,1
,Carlton Cole,England, West Ham United,1
,Séamus Coleman,Ireland, Everton FC,1
,Jack Cork,England, Southampton FC,1
,David Luiz,Brazil, Chelsea FC,1
,Ben Davies,Wales, Swansea City,1
,Curtis Davies,England, Hull City,1
,Kevin De Bruyne,Belgium, Chelsea FC,1
,Luuk de Jong,Netherlands, Newcastle United,1
,Damien Delaney,Ireland, Crystal Palace,1
,Mousa Dembélé,Belgium, Tottenham Hotspur,1
,Martín Demichelis,Argentina, Manchester City,1
,Magnus Eikrem,Norway, Cardiff City,1
,Karim El Ahmadi,Morocco, Aston Villa,1
,Marvin Emnes,Netherlands, Swansea City,1
,Marouane Fellaini,Belgium, Everton FC,1
,,, Manchester United,
,Leroy Fer,Netherlands, Norwich City,1
,Danny Fox,Scotland, Southampton FC,1
,Zoltán Gera,Hungary, West Bromwich Albion,1
,Kieran Gibbs,England, Arsenal FC,1
,Serge Gnabry,Germany, Arsenal FC,1
,Danny Graham,England, Hull City,1
,Brad Guzan,USA, Aston Villa,1
,John Heitinga,Netherlands, Everton FC,1
,,, Fulham FC,
,Wes Hoolahan,Ireland, Norwich City,1
,Tim Howard,USA, Everton FC,1
,Robert Huth,Germany, Stoke City,1
,Tom Ince,England, Crystal Palace,1
,Branislav Ivanović,Serbia, Chelsea FC,1
,Jussi Jääskeläinen,Finland, West Ham United,1
,Phil Jagielka,England, Everton FC,1
,Mile Jedinak,Australia, Crystal Palace,1
,Nikica Jelavić,Croatia, Everton FC,1
,,, Hull City,
,Bradley Johnson,England, Norwich City,1
,Kenwyne Jones,Trinidad & Tobago, Cardiff City,1
,,, Stoke City,
,Stevan Jovetić,Montenegro, Manchester City,1
,Younès Kaboul,France, Tottenham Hotspur,1
,Sung-yueng Ki,South Korea, Sunderland AFC,1
,,, Swansea City,
,Vincent Kompany,Belgium, Manchester City,1
,Érik Lamela,Argentina, Tottenham Hotspur,1
,Joe Ledley,Wales, Crystal Palace,1
,Dejan Lovren,Croatia, Southampton FC,1
,Luis Alberto,Spain, Liverpool FC,1
,Marcos Alonso,Spain, Sunderland AFC,1
,Adrian Mariappa,Jamaica, Crystal Palace,1
,Aiden McGeady,Ireland, Everton FC,1
,Gary Medel,Chile, Cardiff City,1
,Per Mertesacker,Germany, Arsenal FC,1
,David Meyler,Ireland, Hull City,1
,Dean Moxey,England, Crystal Palace,1
,Glenn Murray,England, Crystal Palace,1
,Nacho Monreal,Spain, Arsenal FC,1
,Craig Noone,England, Cardiff City,1
,John Mikel Obi,Nigeria, Chelsea FC,1
,Martin Olsson,Sweden, Norwich City,1
,Alex Oxlade-Chamberlain,England, Arsenal FC,1
,Scott Parker,England, Fulham FC,1
,Anthony Pilkington,Ireland, Norwich City,1
,Rafael,Brazil, Manchester United,1
,Valentin Roberge,France, Sunderland AFC,1
,Tomáš Rosický,Czech Republic, Arsenal FC,1
,Mohamed Salah,Egypt, Chelsea FC,1
,Morgan Schneiderlin,France, Southampton FC,1
,Philippe Senderos,Switzerland, Fulham FC,1
,Stéphane Sessègnon,Benin, Sunderland AFC,1
,,, West Bromwich Albion,
,Luke Shaw,England, Southampton FC,1
,Martin Škrtel,Slovakia, Liverpool FC,1
,Adel Taarabt,Morocco, Fulham FC,1
,Neil Taylor,Wales, Swansea City,1
,John Terry,England, Chelsea FC,1
,Cheick Tioté,Ivory Coast, Newcastle United,1
,Andros Townsend,England, Tottenham Hotspur,1
,Ryan Tunnicliffe,England, Fulham FC,1
,Ben Turner,England, Cardiff City,1
,Ricky van Wolfswinkel,Netherlands, Norwich City,1
,Ron Vlaar,Netherlands, Aston Villa,1
,Glenn Whelan,Ireland, Stoke City,1
,Connor Wickham,England, Sunderland AFC,1
,Ashley Williams,Wales, Swansea City,1
,Willian,Brazil, Chelsea FC,1
,Ashley Young,England, Manchester United,1
,Wilfried Zaha,Ivory Coast, Cardiff City,1
,,, Manchester United,
