#,Player,Country,Team,Goals (Penalty)
1,Robin van Persie,Netherlands,Manchester United Manchester United,26 (3)
2,Luis Suárez,Uruguay,Liverpool FC Liverpool FC,23 (0)
3,Gareth Bale,Wales,Tottenham Hotspur Tottenham Hotspur,21 (0)
4,Christian Benteke,Belgium,Aston Villa Aston Villa,19 (3)
5,Michu,Spain,Swansea City Swansea City,18 (0)
6,Romelu Lukaku,Belgium,West Bromwich Albion West Bromwich Albion,17 (2)
7,Demba Ba,Senegal,Chelsea FC Chelsea FC,15 (1)
,,,Newcastle United Newcastle United,
,Dimitar Berbatov,Bulgaria,Fulham FC Fulham FC,15 (4)
,,,Manchester United Manchester United,
,Rickie Lambert,England,Southampton FC Southampton FC,15 (3)
,Frank Lampard,England,Chelsea FC Chelsea FC,15 (5)
11,Edin Džeko,Bosnia-Herzegovina,Manchester City Manchester City,14 (0)
,Theo Walcott,England,Arsenal FC Arsenal FC,14 (0)
13,Kun Agüero,Argentina,Manchester City Manchester City,12 (2)
,Adam Le Fondre,England,Reading FC Reading FC,12 (3)
,Wayne Rooney,England,Manchester United Manchester United,12 (1)
,Santi Cazorla,Spain,Arsenal FC Arsenal FC,12 (0)
17,Jermain Defoe,England,Tottenham Hotspur Tottenham Hotspur,11 (0)
,Marouane Fellaini,Belgium,Everton FC Everton FC,11 (0)
,Steven Fletcher,Scotland,Sunderland AFC Sunderland AFC,11 (0)
,Olivier Giroud,France,Arsenal FC Arsenal FC,11 (0)
,Arouna Koné,Ivory Coast,Wigan Athletic Wigan Athletic,11 (0)
,Mata,Spain,Chelsea FC Chelsea FC,11 (0)
,Lukas Podolski,Germany,Arsenal FC Arsenal FC,11 (0)
,Daniel Sturridge,England,Chelsea FC Chelsea FC,11 (1)
,,,Liverpool FC Liverpool FC,
,Carlos Tévez,Argentina,Manchester City Manchester City,11 (2)
26,Javier Hernández,Mexico,Manchester United Manchester United,10 (0)
,Kevin Nolan,England,West Ham United West Ham United,10 (0)
28,Gabriel Agbonlahor,England,Aston Villa Aston Villa,9 (0)
,Steven Gerrard,England,Liverpool FC Liverpool FC,9 (4)
,Eden Hazard,Belgium,Chelsea FC Chelsea FC,9 (2)
31,Papiss Demba Cissé,Senegal,Newcastle United Newcastle United,8 (0)
,Fernando Torres,Spain,Chelsea FC Chelsea FC,8 (1)
,Grant Holt,England,Norwich City Norwich City,8 (1)
,Shane Long,Ireland,West Bromwich Albion West Bromwich Albion,8 (0)
,Jon Walters,Ireland,Stoke City Stoke City,8 (3)
36,Andy Carroll,England,Liverpool FC Liverpool FC,7 (1)
,,,West Ham United West Ham United,
,Peter Crouch,England,Stoke City Stoke City,7 (0)
,Clint Dempsey,USA,Tottenham Hotspur Tottenham Hotspur,7 (0)
,Nikica Jelavić,Croatia,Everton FC Everton FC,7 (0)
,Hal Robson-Kanu,Wales,Reading FC Reading FC,7 (1)
,Stéphane Sessègnon,Benin,Sunderland AFC Sunderland AFC,7 (0)
,Andreas Weimann,Austria,Aston Villa Aston Villa,7 (0)
43,Victor Anichebe,Nigeria,Everton FC Everton FC,6 (0)
,Yohan Cabaye,France,Newcastle United Newcastle United,6 (1)
,Craig Gardner,England,Sunderland AFC Sunderland AFC,6 (4)
,Shinji Kagawa,Japan,Manchester United Manchester United,6 (0)
,Shaun Maloney,Scotland,Wigan Athletic Wigan Athletic,6 (1)
