,Player,Country,Team,Goals (Penalty),Season,Rank,Penalty,Goals
15,Santi Cazorla,Spain,Manchester City,12 (0),2012,16,(0),10
16,Jermain Defoe,England,Aston Villa,11 (0),2012,17,(1),10
17,Marouane Fellaini,Belgium,West Ham United,11 (0),2012,18,(1),10
0,Luis Suárez,Uruguay,Chelsea FC,31 (0),2013,1,(1),29
1,Daniel Sturridge,England,Manchester United,22 (0),2013,2,(4),26
2,Yaya Touré,Ivory Coast,Sunderland AFC,20 (6),2013,3,(5),24
3,Kun Agüero,Argentina,Manchester City,17 (0),2013,4,(5),23
4,Wilfried Bony,Ivory Coast,Chelsea FC,17 (4),2013,5,(10),22
5,Wayne Rooney,England,Tottenham Hotspur,17 (3),2013,6,(1),18
6,Edin Džeko,Bosnia-Herzegovina,Liverpool FC,16 (0),2013,7,(0),18
7,Olivier Giroud,France,Arsenal FC,16 (1),2013,8,(3),15
8,Romelu Lukaku,Belgium,Manchester City,15 (0),2013,9,(0),14
9,Jay Rodriguez,England,Aston Villa,15 (0),2013,10,(0),13
10,Eden Hazard,Belgium,Everton FC,14 (4),2013,11,(2),13
11,Loïc Rémy,France,Manchester United,14 (0),2013,12,(0),12
12,Steven Gerrard,England,Chelsea FC,13 (9),2013,13,(0),12
13,Rickie Lambert,England,Chelsea FC,13 (3),2013,14,(0),11
14,Robin van Persie,Netherlands,Arsenal FC,12 (2),2013,15,(0),10
15,Emmanuel Adebayor,Togo,Manchester City,11 (1),2013,16,(0),10
16,Christian Benteke,Belgium,Aston Villa,10 (2),2013,17,(1),10
17,Aaron Ramsey,Wales,West Ham United,10 (0),2013,18,(1),10
18,Álvaro Negredo,Spain,Birmingham City,9 (0),2013,19,(0),10
0,Kun Agüero,Argentina,Chelsea FC,26 (5),2014,1,(1),29
1,Harry Kane,England,Manchester United,21 (2),2014,2,(4),26
2,Diego Costa,Spain,Sunderland AFC,20 (1),2014,3,(5),24
3,Charlie Austin,England,Manchester City,18 (3),2014,4,(5),23
4,Alexis Sánchez,Chile,Chelsea FC,16 (0),2014,5,(10),22
5,Saido Berahino,Burundi,Tottenham Hotspur,14 (4),2014,6,(1),18
6,Olivier Giroud,France,Liverpool FC,14 (0),2014,7,(0),18
7,Eden Hazard,Belgium,Arsenal FC,14 (3),2014,8,(3),15
8,Christian Benteke,Belgium,Manchester City,13 (1),2014,9,(0),14
9,David Silva,Spain,Aston Villa,12 (0),2014,10,(0),13
10,Mame Diouf,Senegal,Everton FC,12 (0),2014,11,(2),13
11,Graziano Pellè,Italy,Manchester United,12 (0),2014,12,(0),12
12,Wayne Rooney,England,Chelsea FC,12 (1),2014,13,(0),12
13,Wilfried Bony,Ivory Coast,Chelsea FC,11 (1),2014,14,(0),11
14,Nacer Chadli,Belgium,Arsenal FC,11 (0),2014,15,(0),10
15,Papiss Demba Cissé,Senegal,Manchester City,11 (1),2014,16,(0),10
16,Danny Ings,England,Aston Villa,11 (1),2014,17,(1),10
17,Leonardo Ulloa,Argentina,West Ham United,11 (2),2014,18,(1),10
18,Christian Eriksen,Denmark,Birmingham City,10 (0),2014,19,(0),10
0,Harry Kane,England,Chelsea FC,25 (5),2015,1,(1),29
1,Kun Agüero,Argentina,Manchester United,24 (4),2015,2,(4),26
2,Jamie Vardy,England,Sunderland AFC,24 (5),2015,3,(5),24
3,Romelu Lukaku,Belgium,Manchester City,18 (1),2015,4,(5),23
4,Riyad Mahrez,Algeria,Chelsea FC,17 (4),2015,5,(10),22
5,Olivier Giroud,France,Tottenham Hotspur,16 (1),2015,6,(1),18
6,Odion Ighalo,Nigeria,Liverpool FC,16 (0),2015,7,(0),18
7,Jermain Defoe,England,Arsenal FC,15 (1),2015,8,(3),15
8,Troy Deeney,England,Manchester City,13 (6),2015,9,(0),14
9,Alexis Sánchez,Chile,Aston Villa,13 (0),2015,10,(0),13
10,André Ayew,Ghana,Everton FC,12 (0),2015,11,(2),13
11,Diego Costa,Spain,Manchester United,12 (0),2015,12,(0),12
12,Marko Arnautović,Austria,Chelsea FC,11 (3),2015,13,(0),12
13,Sadio Mané,Senegal,Chelsea FC,11 (0),2015,14,(0),11
14,Anthony Martial,France,Arsenal FC,11 (0),2015,15,(0),10
15,Graziano Pellè,Italy,Manchester City,11 (0),2015,16,(0),10
16,Gylfi Sigurðsson,Iceland,Aston Villa,11 (3),2015,17,(1),10
17,Georginio Wijnaldum,Netherlands,West Ham United,11 (1),2015,18,(1),10
18,Dele Alli,England,Birmingham City,10 (0),2015,19,(0),10
19,Shane Long,Ireland,Wigan Athletic,10 (0),2015,20,(1),10
0,Harry Kane,England,Chelsea FC,29 (5),2016,1,(1),29
1,Romelu Lukaku,Belgium,Manchester United,25 (1),2016,2,(4),26
2,Alexis Sánchez,Chile,Sunderland AFC,24 (2),2016,3,(5),24
3,Kun Agüero,Argentina,Manchester City,20 (4),2016,4,(5),23
4,Diego Costa,Spain,Chelsea FC,20 (0),2016,5,(10),22
5,Dele Alli,England,Tottenham Hotspur,18 (1),2016,6,(1),18
6,Zlatan Ibrahimović,Sweden,Liverpool FC,17 (2),2016,7,(0),18
7,Eden Hazard,Belgium,Arsenal FC,16 (2),2016,8,(3),15
8,Joshua King,Norway,Manchester City,16 (2),2016,9,(0),14
9,Christian Benteke,Belgium,Aston Villa,15 (2),2016,10,(0),13
10,Jermain Defoe,England,Everton FC,15 (5),2016,11,(2),13
11,Llorente,Spain,Manchester United,15 (0),2016,12,(0),12
12,Heung-min Son,South Korea,Chelsea FC,14 (0),2016,13,(0),12
13,Coutinho,Brazil,Chelsea FC,13 (0),2016,14,(0),11
14,Sadio Mané,Senegal,Arsenal FC,13 (0),2016,15,(0),10
15,Jamie Vardy,England,Manchester City,13 (0),2016,16,(0),10
16,Olivier Giroud,France,Aston Villa,12 (0),2016,17,(1),10
17,Roberto Firmino,Brazil,West Ham United,11 (0),2016,18,(1),10
18,Troy Deeney,England,Birmingham City,10 (3),2016,19,(0),10
19,Pedro,Spain,Wigan Athletic,10 (0),2016,20,(1),10
0,Mohamed Salah,Egypt,Chelsea FC,32 (1),2017,1,(1),29
1,Harry Kane,England,Manchester United,30 (2),2017,2,(4),26
2,Kun Agüero,Argentina,Sunderland AFC,21 (4),2017,3,(5),24
3,Jamie Vardy,England,Manchester City,20 (5),2017,4,(5),23
4,Raheem Sterling,England,Chelsea FC,18 (1),2017,5,(10),22
5,Romelu Lukaku,Belgium,Tottenham Hotspur,16 (0),2017,6,(1),18
6,Roberto Firmino,Brazil,Liverpool FC,15 (1),2017,7,(0),18
7,Alexandre Lacazette,France,Arsenal FC,14 (2),2017,8,(3),15
8,Gabriel Jesus,Brazil,Manchester City,13 (0),2017,9,(0),14
9,Eden Hazard,Belgium,Aston Villa,12 (2),2017,10,(0),13
10,Riyad Mahrez,Algeria,Everton FC,12 (0),2017,11,(2),13
11,Glenn Murray,England,Manchester United,12 (4),2017,12,(0),12
12,Heung-min Son,South Korea,Chelsea FC,12 (0),2017,13,(0),12
13,Marko Arnautović,Austria,Chelsea FC,11 (0),2017,14,(0),11
14,Morata,Spain,Arsenal FC,11 (0),2017,15,(0),10
15,Pierre-Emerick Aubameyang,Gabon,Manchester City,10 (1),2017,16,(0),10
16,Christian Eriksen,Denmark,Aston Villa,10 (0),2017,17,(1),10
17,Sadio Mané,Senegal,West Ham United,10 (0),2017,18,(1),10
18,Luka Milivojević,Serbia,Birmingham City,10 (7),2017,19,(0),10
19,Wayne Rooney,England,Wigan Athletic,10 (3),2017,20,(1),10
0,Pierre-Emerick Aubameyang,Gabon,Chelsea FC,22 (4),2018,1,(1),29
1,Sadio Mané,Senegal,Manchester United,22 (0),2018,2,(4),26
2,Mohamed Salah,Egypt,Sunderland AFC,22 (3),2018,3,(5),24
3,Kun Agüero,Argentina,Manchester City,21 (2),2018,4,(5),23
4,Jamie Vardy,England,Chelsea FC,18 (4),2018,5,(10),22
5,Harry Kane,England,Tottenham Hotspur,17 (4),2018,6,(1),18
6,Raheem Sterling,England,Liverpool FC,17 (0),2018,7,(0),18
7,Eden Hazard,Belgium,Arsenal FC,16 (4),2018,8,(3),15
8,Callum Wilson,England,Manchester City,14 (1),2018,9,(0),14
9,Raúl Jiménez,Mexico,Aston Villa,13 (2),2018,10,(0),13
10,Alexandre Lacazette,France,Everton FC,13 (0),2018,11,(2),13
11,Glenn Murray,England,Manchester United,13 (4),2018,12,(0),12
12,Paul Pogba,France,Chelsea FC,13 (7),2018,13,(0),12
13,Richarlison,Brazil,Chelsea FC,13 (0),2018,14,(0),11
14,Gylfi Sigurðsson,Iceland,Arsenal FC,13 (2),2018,15,(0),10
15,Ayoze Pérez,Spain,Manchester City,12 (0),2018,16,(0),10
16,Ashley Barnes,England,Aston Villa,12 (2),2018,17,(1),10
17,Joshua King,Norway,West Ham United,12 (5),2018,18,(1),10
18,Romelu Lukaku,Belgium,Birmingham City,12 (0),2018,19,(0),10
19,Luka Milivojević,Serbia,Wigan Athletic,12 (10),2018,20,(1),10
0,Jamie Vardy,England,Chelsea FC,23 (4),2019,1,(1),29
1,Pierre-Emerick Aubameyang,Gabon,Manchester United,22 (2),2019,2,(4),26
2,Danny Ings,England,Sunderland AFC,22 (1),2019,3,(5),24
3,Raheem Sterling,England,Manchester City,20 (0),2019,4,(5),23
4,Mohamed Salah,Egypt,Chelsea FC,19 (3),2019,5,(10),22
5,Harry Kane,England,Tottenham Hotspur,18 (2),2019,6,(1),18
6,Sadio Mané,Senegal,Liverpool FC,18 (0),2019,7,(0),18
7,Raúl Jiménez,Mexico,Arsenal FC,17 (4),2019,8,(3),15
8,Anthony Martial,France,Manchester City,17 (0),2019,9,(0),14
9,Marcus Rashford,England,Aston Villa,17 (6),2019,10,(0),13
10,Kun Agüero,Argentina,Everton FC,16 (2),2019,11,(2),13
11,Tammy Abraham,England,Manchester United,15 (0),2019,12,(0),12
12,Gabriel Jesus,Brazil,Chelsea FC,14 (0),2019,13,(0),12
13,Chris Wood,New Zealand,Chelsea FC,14 (1),2019,14,(0),11
14,Dominic Calvert-Lewin,England,Arsenal FC,13 (0),2019,15,(0),10
15,Kevin De Bruyne,Belgium,Manchester City,13 (2),2019,16,(0),10
16,Richarlison,Brazil,Aston Villa,13 (0),2019,17,(1),10
17,Riyad Mahrez,Algeria,West Ham United,11 (1),2019,18,(1),10
18,Teemu Pukki,Finland,Birmingham City,11 (2),2019,19,(0),10
19,Heung-min Son,South Korea,Wigan Athletic,11 (0),2019,20,(1),10
