#,Player,Country,Team,Goals (Penalty)
1,Jamie Vardy,England,Leicester City Leicester City,23 (4)
2,Pierre-Emerick Aubameyang,Gabon,Arsenal FC Arsenal FC,22 (2)
,Danny Ings,England,Southampton FC Southampton FC,22 (1)
4,Raheem Sterling,England,Manchester City Manchester City,20 (0)
5,Mohamed Salah,Egypt,Liverpool FC Liverpool FC,19 (3)
6,Harry Kane,England,Tottenham Hotspur Tottenham Hotspur,18 (2)
,Sadio Mané,Senegal,Liverpool FC Liverpool FC,18 (0)
8,Raúl Jiménez,Mexico,Wolverhampton Wanderers Wolverhampton Wanderers,17 (4)
,Anthony Martial,France,Manchester United Manchester United,17 (0)
,Marcus Rashford,England,Manchester United Manchester United,17 (6)
11,Kun Agüero,Argentina,Manchester City Manchester City,16 (2)
12,Tammy Abraham,England,Chelsea FC Chelsea FC,15 (0)
13,Gabriel Jesus,Brazil,Manchester City Manchester City,14 (0)
,Chris Wood,New Zealand,Burnley FC Burnley FC,14 (1)
15,Dominic Calvert-Lewin,England,Everton FC Everton FC,13 (0)
,Kevin De Bruyne,Belgium,Manchester City Manchester City,13 (2)
,Richarlison,Brazil,Everton FC Everton FC,13 (0)
18,Riyad Mahrez,Algeria,Manchester City Manchester City,11 (1)
,Teemu Pukki,Finland,Norwich City Norwich City,11 (2)
,Heung-min Son,South Korea,Tottenham Hotspur Tottenham Hotspur,11 (0)
21,Michail Antonio,England,West Ham United West Ham United,10 (1)
,Troy Deeney,England,Watford FC Watford FC,10 (5)
,Mason Greenwood,England,Manchester United Manchester United,10 (0)
,Alexandre Lacazette,France,Arsenal FC Arsenal FC,10 (0)
,Neal Maupay,France,Brighton & Hove Albion Brighton & Hove Albion,10 (1)
26,Jordan Ayew,Ghana,Crystal Palace Crystal Palace,9 (0)
,Christian Pulišić,USA,Chelsea FC Chelsea FC,9 (0)
,Roberto Firmino,Brazil,Liverpool FC Liverpool FC,9 (0)
,Willian,Brazil,Chelsea FC Chelsea FC,9 (4)
30,Dele Alli,England,Tottenham Hotspur Tottenham Hotspur,8 (1)
,Ayoze Pérez,Spain,Leicester City Leicester City,8 (1)
,Bruno Fernandes,Portugal,Manchester United Manchester United,8 (4)
,Olivier Giroud,France,Chelsea FC Chelsea FC,8 (0)
,Jack Grealish,England,Aston Villa Aston Villa,8 (0)
,Jay Rodriguez,England,Burnley FC Burnley FC,8 (1)
,Callum Wilson,England,AFC Bournemouth AFC Bournemouth,8 (0)
37,Diogo Jota,Portugal,Wolverhampton Wanderers Wolverhampton Wanderers,7 (0)
,Sébastien Haller,France,West Ham United West Ham United,7 (0)
,Mason Mount,England,Chelsea FC Chelsea FC,7 (0)
,Harry Wilson,Wales,AFC Bournemouth AFC Bournemouth,7 (0)
41,Ashley Barnes,England,Burnley FC Burnley FC,6 (1)
,Harvey Barnes,England,Leicester City Leicester City,6 (0)
,Bernardo Silva,Portugal,Manchester City Manchester City,6 (0)
,Todd Cantwell,England,Norwich City Norwich City,6 (0)
,David Silva,Spain,Manchester City Manchester City,6 (0)
,Joshua King,Norway,AFC Bournemouth AFC Bournemouth,6 (3)
,James Maddison,England,Leicester City Leicester City,6 (0)
,Oliver McBurnie,Scotland,Sheffield United Sheffield United,6 (0)
,Lys Mousset,France,Sheffield United Sheffield United,6 (0)
,Jonjo Shelvey,England,Newcastle United Newcastle United,6 (0)
,Trezeguet,Egypt,Aston Villa Aston Villa,6 (0)
52,Stuart Armstrong,Scotland,Southampton FC Southampton FC,5 (0)
,John Fleck,Scotland,Sheffield United Sheffield United,5 (0)
,Phil Foden,England,Manchester City Manchester City,5 (0)
,Kelechi Iheanacho,Nigeria,Leicester City Leicester City,5 (0)
,John Lundstram,England,Sheffield United Sheffield United,5 (0)
,Nicolas Pépé,Ivory Coast,Arsenal FC Arsenal FC,5 (1)
,Ismaïla Sarr,Senegal,Watford FC Watford FC,5 (0)
,Robert Snodgrass,Scotland,West Ham United West Ham United,5 (0)
