#,Player,Country,Team,Assists
,Mattéo Guendouzi,France, Arsenal FC,1
,İlkay Gündoğan,Germany, Manchester City,1
,Sébastien Haller,France, West Ham United,1
,Pierre-Emile Højbjerg,Denmark, Southampton FC,1
,Will Hughes,England, Watford FC,1
,Daryl Janmaat,Netherlands, Watford FC,1
,Jota,Spain, Aston Villa,1
,James Justin,England, Leicester City,1
,Martin Kelly,England, Crystal Palace,1
,Ezri Konsa,England, Aston Villa,1
,Cheikhou Kouyaté,Senegal, Crystal Palace,1
,Emil Krafth,Sweden, Newcastle United,1
,Adam Lallana,England, Liverpool FC,1
,Tariq Lamptey,England, Brighton & Hove Albion,1
,,, Chelsea FC,
,Ruben Loftus-Cheek,England, Chelsea FC,1
,Sean Longstaff,England, Newcastle United,1
,Dejan Lovren,Croatia, Liverpool FC,1
,Matthew Lowton,England, Burnley FC,1
,Manquillo,Spain, Newcastle United,1
,Solly March,England, Brighton & Hove Albion,1
,Martín Montoya,Spain, Brighton & Hove Albion,1
,Arthur Masuaku,Congo DR, West Ham United,1
,Kenny McLean,Scotland, Norwich City,1
,Scott McTominay,Scotland, Manchester United,1
,Ben Mee,England, Burnley FC,1
,Luka Milivojević,Serbia, Crystal Palace,1
,Yerry Mina,Colombia, Everton FC,1
,Glenn Murray,England, Brighton & Hove Albion,1
,Shkodran Mustafi,Germany, Arsenal FC,1
,Wilfred Ndidi,Nigeria, Leicester City,1
,Oliver Norwood,Northern Ireland, Sheffield United,1
,Jack O'Connell,England, Sheffield United,1
,Divock Origi,Belgium, Liverpool FC,1
,Alex Oxlade-Chamberlain,England, Liverpool FC,1
,Pedro,Spain, Chelsea FC,1
,Aaron Ramsdale,England, AFC Bournemouth,1
,Matt Ritchie,Scotland, Newcastle United,1
,Callum Robinson,Ireland, Sheffield United,1
,Jay Rodriguez,England, Burnley FC,1
,Romain Saïss,Morocco, Wolverhampton Wanderers,1
,Jeffrey Schlupp,Ghana, Crystal Palace,1
,Moussa Sissoko,France, Tottenham Hotspur,1
,Adam Smith,England, AFC Bournemouth,1
,Dominic Solanke,England, AFC Bournemouth,1
,Çağlar Söyüncü,Turkey, Leicester City,1
,Dale Stephens,England, Brighton & Hove Albion,1
,Raheem Sterling,England, Manchester City,1
,Charlie Taylor,England, Burnley FC,1
,Alexander Tettey,Norway, Norwich City,1
,Luke Thomas,England, Leicester City,1
,Kieran Tierney,Scotland, Arsenal FC,1
,James Tomkins,England, Crystal Palace,1
,Lucas Torreira,Uruguay, Arsenal FC,1
,Andros Townsend,England, Crystal Palace,1
,Trezeguet,Egypt, Aston Villa,1
,Virgil van Dijk,Netherlands, Liverpool FC,1
,Jan Vertonghen,Belgium, Tottenham Hotspur,1
,Matěj Vydra,Czech Republic, Burnley FC,1
,Adam Webster,England, Brighton & Hove Albion,1
,Wesley,Brazil, Aston Villa,1
,Connor Wickham,England, Crystal Palace,1
,Joe Willock,England, Arsenal FC,1
,Callum Wilson,England, AFC Bournemouth,1
,Chris Wood,New Zealand, Burnley FC,1
,Andrey Yarmolenko,Ukraine, West Ham United,1
,Christoph Zimmermann,Germany, Norwich City,1
