#,Player,Country,Team,Assists
1,Kevin De Bruyne,Belgium, Manchester City,20
2,Trent Alexander-Arnold,England, Liverpool FC,13
3,Andrew Robertson,Scotland, Liverpool FC,12
4,David Silva,Spain, Manchester City,10
,Mohamed Salah,Egypt, Liverpool FC,10
,Heung-min Son,South Korea, Tottenham Hotspur,10
7,Riyad Mahrez,Algeria, Manchester City,9
,Adama Traoré,Spain, Wolverhampton Wanderers,9
9,Harvey Barnes,England, Leicester City,8
,Roberto Firmino,Brazil, Liverpool FC,8
11,Bernardo Silva,Portugal, Manchester City,7
,Bruno Fernandes,Portugal, Manchester United,7
,Emiliano Buendia,Argentina, Norwich City,7
,Lucas Digne,France, Everton FC,7
,Gabriel Jesus,Brazil, Manchester City,7
,Sadio Mané,Senegal, Liverpool FC,7
,Marcus Rashford,England, Manchester United,7
,Willian,Brazil, Chelsea FC,7
19,Azpilicueta,Spain, Chelsea FC,6
,Daniel James,Wales, Manchester United,6
,Raúl Jiménez,Mexico, Wolverhampton Wanderers,6
,João Moutinho,Portugal, Wolverhampton Wanderers,6
,Anthony Martial,France, Manchester United,6
,Dwight McNeil,England, Burnley FC,6
,Youri Tielemans,Belgium, Leicester City,6
,Ashley Westwood,England, Burnley FC,6
27,Serge Aurier,Ivory Coast, Tottenham Hotspur,5
,Gerard Deulofeu,Spain, Watford FC,5
,Jack Grealish,England, Aston Villa,5
,Jordan Henderson,England, Liverpool FC,5
,Conor Hourihane,Ireland, Aston Villa,5
,Callum Hudson-Odoi,England, Chelsea FC,5
,Mason Mount,England, Chelsea FC,5
,Pablo Fornals,Spain, West Ham United,5
,Nicolas Pépé,Ivory Coast, Arsenal FC,5
,Bukayo Saka,England, Arsenal FC,5
,Robert Snodgrass,Scotland, West Ham United,5
,Jamie Vardy,England, Leicester City,5
39,Dele Alli,England, Tottenham Hotspur,4
,Ayoze Pérez,Spain, Leicester City,4
,Ross Barkley,England, Chelsea FC,4
,Jarrod Bowen,England, West Ham United,4
,Andy Carroll,England, Newcastle United,4
,Diego Rico,Spain, AFC Bournemouth,4
,Anwar El Ghazi,Netherlands, Aston Villa,4
,Felipe Anderson,Brazil, West Ham United,4
,Ryan Fraser,Scotland, AFC Bournemouth,4
,Pascal Groß,Germany, Brighton & Hove Albion,4
,Joshua King,Norway, AFC Bournemouth,4
,Alexandre Lacazette,France, Arsenal FC,4
,Lucas,Brazil, Tottenham Hotspur,4
,Lys Mousset,France, Sheffield United,4
,Erik Pieters,Netherlands, Burnley FC,4
,Christian Pulišić,USA, Chelsea FC,4
,Nathan Redmond,England, Southampton FC,4
,Allan Saint-Maximin,France, Newcastle United,4
,Ismaïla Sarr,Senegal, Watford FC,4
,Djibril Sidibé,France, Everton FC,4
,Enda Stevens,Ireland, Sheffield United,4
,Kyle Walker,England, Manchester City,4
,Aaron Wan-Bissaka,England, Manchester United,4
62,Tammy Abraham,England, Chelsea FC,3
,Kun Agüero,Argentina, Manchester City,3
,Marc Albrighton,England, Leicester City,3
,Andreas Pereira,Brazil, Manchester United,3
,Michail Antonio,England, West Ham United,3
,Stuart Armstrong,Scotland, Southampton FC,3
,Christian Atsu,Ghana, Newcastle United,3
,Pierre-Emerick Aubameyang,Gabon, Arsenal FC,3
,George Baldock,England, Sheffield United,3
,Étienne Capoue,France, Watford FC,3
,Ben Chilwell,England, Leicester City,3
,Matt Doherty,Ireland, Wolverhampton Wanderers,3
,Lewis Dunk,England, Brighton & Hove Albion,3
,Fabinho,Brazil, Liverpool FC,3
,Ryan Fredericks,England, West Ham United,3
,Demarai Gray,England, Leicester City,3
,Mason Holgate,England, Everton FC,3
,Kelechi Iheanacho,Nigeria, Leicester City,3
,Naby Keïta,Guinea, Liverpool FC,3
,Mateo Kovačić,Croatia, Chelsea FC,3
,John Lundstram,England, Sheffield United,3
,James Maddison,England, Leicester City,3
,Neal Maupay,France, Brighton & Hove Albion,3
,James McArthur,Scotland, Crystal Palace,3
,John McGinn,Scotland, Aston Villa,3
,Mark Noble,England, West Ham United,3
,Pedro Neto,Portugal, Wolverhampton Wanderers,3
,Paul Pogba,France, Manchester United,3
,Teemu Pukki,Finland, Norwich City,3
,Declan Rice,England, West Ham United,3
,Richarlison,Brazil, Everton FC,3
,Gylfi Sigurðsson,Iceland, Everton FC,3
,Jack Stephens,England, Southampton FC,3
,Leandro Trossard,Belgium, Brighton & Hove Albion,3
,Theo Walcott,England, Everton FC,3
,James Ward-Prowse,England, Southampton FC,3
,Wilfried Zaha,Ivory Coast, Crystal Palace,3
99,Che Adams,England, Southampton FC,2
,Nathan Aké,Netherlands, AFC Bournemouth,2
,Toby Alderweireld,Belgium, Tottenham Hotspur,2
,Miguel Almirón,Paraguay, Newcastle United,2
,Jordan Ayew,Ghana, Crystal Palace,2
,Bernard,Brazil, Everton FC,2
,Sofiane Boufal,Morocco, Southampton FC,2
,Robbie Brady,Ireland, Burnley FC,2
,Todd Cantwell,England, Norwich City,2
,Dani Ceballos,Spain, Arsenal FC,2
,Troy Deeney,England, Watford FC,2
,Eric Dier,England, Tottenham Hotspur,2
,Moussa Djénépo,Mali, Southampton FC,2
,Abdoulaye Doucouré,France, Watford FC,2
,Douglas Luiz,Brazil, Aston Villa,2
,Christian Eriksen,Denmark, Tottenham Hotspur,2
,Federico Fernández,Argentina, Newcastle United,2
,John Fleck,Scotland, Sheffield United,2
,Phil Foden,England, Manchester City,2
,Dwight Gayle,England, Newcastle United,2
,Frédéric Guilbert,France, Aston Villa,2
,Isaac Hayden,England, Newcastle United,2
,Jeff Hendrick,Ireland, Burnley FC,2
,Onel Hernandez,Cuba, Norwich City,2
,Danny Ings,England, Southampton FC,2
,Reece James,England, Chelsea FC,2
,Joelinton,Brazil, Newcastle United,2
,Jonny,Spain, Wolverhampton Wanderers,2
,Jorginho,Italy, Chelsea FC,2
,Christian Kabasele,Belgium, Watford FC,2
,Harry Kane,England, Tottenham Hotspur,2
,Moise Kean,Italy, Everton FC,2
,Sead Kolašinac,Bosnia-Herzegovina, Arsenal FC,2
,Érik Lamela,Argentina, Tottenham Hotspur,2
,Manuel Lanzini,Argentina, West Ham United,2
,Jefferson Lerma,Colombia, AFC Bournemouth,2
,Giovani Lo Celso,Argentina, Tottenham Hotspur,2
,Shane Long,Ireland, Southampton FC,2
,Ainsley Maitland-Niles,England, Arsenal FC,2
,Marcos Alonso,Spain, Chelsea FC,2
,Mata,Spain, Manchester United,2
,Nemanja Matić,Serbia, Manchester United,2
,David McGoldrick,Ireland, Sheffield United,2
,Benjamin Mendy,France, Manchester City,2
,James Milner,England, Liverpool FC,2
,Tyrone Mings,England, Aston Villa,2
,Aaron Mooy,Australia, Brighton & Hove Albion,2
,Tanguy NDombèlé,France, Tottenham Hotspur,2
,Michael Obafemi,Ireland, Southampton FC,2
,Mesut Özil,Germany, Arsenal FC,2
,Dennis Praet,Belgium, Leicester City,2
,Davy Pröpper,Netherlands, Brighton & Hove Albion,2
,Ricardo Pereira,Portugal, Leicester City,2
,Rodri,Spain, Manchester City,2
,Rúben Neves,Portugal, Wolverhampton Wanderers,2
,Billy Sharp,England, Sheffield United,2
,Jonjo Shelvey,England, Newcastle United,2
,Will Smallbone,Ireland, Southampton FC,2
,Jack Stacey,England, AFC Bournemouth,2
,Matt Targett,England, Aston Villa,2
,James Tarkowski,England, Burnley FC,2
,Patrick van Aanholt,Netherlands, Crystal Palace,2
,Jetro Willems,Netherlands, Newcastle United,2
,Granit Xhaka,Switzerland, Arsenal FC,2
163,Max Aarons,England, Norwich City,1
,Alisson,Brazil, Liverpool FC,1
,André Gomes,Portugal, Everton FC,1
,Phil Bardsley,Scotland, Burnley FC,1
,Chris Basham,England, Sheffield United,1
,Michy Batshuayi,Belgium, Chelsea FC,1
,Jan Bednarek,Poland, Southampton FC,1
,Christian Benteke,Belgium, Crystal Palace,1
,Sander Berge,Norway, Sheffield United,1
,Steven Bergwijn,Netherlands, Tottenham Hotspur,1
,Ryan Bertrand,England, Southampton FC,1
,Philip Billing,Denmark, AFC Bournemouth,1
,Willy Boly,France, Wolverhampton Wanderers,1
,Gary Cahill,England, Crystal Palace,1
,Dominic Calvert-Lewin,England, Everton FC,1
,Cédric Soares,Portugal, Arsenal FC,1
,,, Southampton FC,
,Nathaniel Chalobah,England, Watford FC,1
,Calum Chambers,England, Arsenal FC,1
,Hamza Choudhury,England, Leicester City,1
,Séamus Coleman,Ireland, Everton FC,1
,Aaron Connolly,Ireland, Brighton & Hove Albion,1
,Scott Dann,England, Crystal Palace,1
,Kevin Danso,Austria, Southampton FC,1
,David Luiz,Brazil, Arsenal FC,1
,Diogo Jota,Portugal, Wolverhampton Wanderers,1
,Issa Diop,France, West Ham United,1
,Ahmed Elmohamady,Egypt, Aston Villa,1
,Jonny Evans,Northern Ireland, Leicester City,1
,Fernandinho,Brazil, Manchester City,1
,Anthony Gordon,England, Everton FC,1
,Dan Gosling,England, AFC Bournemouth,1
,Mason Greenwood,England, Manchester United,1
,Jóhann Guðmundsson,Iceland, Burnley FC,1
