#,Player,Country,Team,Goals (Penalty)
1,Didier Drogba,Ivory Coast,Chelsea FC Chelsea FC,29 (1)
2,Wayne Rooney,England,Manchester United Manchester United,26 (4)
3,Darren Bent,England,Sunderland AFC Sunderland AFC,24 (5)
4,Carlos Tévez,Argentina,Manchester City Manchester City,23 (5)
5,Frank Lampard,England,Chelsea FC Chelsea FC,22 (10)
6,Jermain Defoe,England,Tottenham Hotspur Tottenham Hotspur,18 (1)
,Fernando Torres,Spain,Liverpool FC Liverpool FC,18 (0)
8,Cesc Fàbregas,Spain,Arsenal FC Arsenal FC,15 (3)
9,Emmanuel Adebayor,Togo,Manchester City Manchester City,14 (0)
10,Gabriel Agbonlahor,England,Aston Villa Aston Villa,13 (0)
,Louis Saha,France,Everton FC Everton FC,13 (2)
12,Dimitar Berbatov,Bulgaria,Manchester United Manchester United,12 (0)
,Florent Malouda,French Guyana,Chelsea FC Chelsea FC,12 (0)
14,Nicolas Anelka,France,Chelsea FC Chelsea FC,11 (0)
15,Andrey Arshavin,Russia,Arsenal FC Arsenal FC,10 (0)
,Craig Bellamy,Wales,Manchester City Manchester City,10 (0)
,John Carew,Norway,Aston Villa Aston Villa,10 (1)
,Carlton Cole,England,West Ham United West Ham United,10 (1)
,Cameron Jerome,England,Birmingham City Birmingham City,10 (0)
,Hugo Rodallega,Colombia,Wigan Athletic Wigan Athletic,10 (1)
21,Kevin Doyle,Ireland,Wolverhampton Wanderers Wolverhampton Wanderers,9 (1)
,David Dunn,England,Blackburn Rovers Blackburn Rovers,9 (2)
,Steven Gerrard,England,Liverpool FC Liverpool FC,9 (2)
,Kenwyne Jones,Trinidad & Tobago,Sunderland AFC Sunderland AFC,9 (1)
,Dirk Kuyt,Netherlands,Liverpool FC Liverpool FC,9 (1)
,Robin van Persie,Netherlands,Arsenal FC Arsenal FC,9 (0)
27,Tim Cahill,Australia,Everton FC Everton FC,8 (0)
,Peter Crouch,England,Tottenham Hotspur Tottenham Hotspur,8 (0)
,Aruna Dindane,Ivory Coast,Portsmouth FC Portsmouth FC,8 (1)
,Steven Fletcher,Scotland,Burnley FC Burnley FC,8 (0)
,Ivan Klasnić,Croatia,Bolton Wanderers Bolton Wanderers,8 (1)
,Matthew Taylor,England,Bolton Wanderers Bolton Wanderers,8 (3)
,Bobby Zamora,England,Fulham FC Fulham FC,8 (0)
34,Graham Alexander,Scotland,Burnley FC Burnley FC,7 (6)
,Clint Dempsey,USA,Fulham FC Fulham FC,7 (1)
,Alessandro Diamanti,Italy,West Ham United West Ham United,7 (4)
,James Milner,England,Aston Villa Aston Villa,7 (3)
,Thomas Vermaelen,Belgium,Arsenal FC Arsenal FC,7 (0)
39,Yossi Benayoun,Israel,Liverpool FC Liverpool FC,6 (0)
,Nicklas Bendtner,Denmark,Arsenal FC Arsenal FC,6 (0)
,Diniyar Bilyaletdinov,Russia,Everton FC Everton FC,6 (0)
,Kevin Davies,England,Bolton Wanderers Bolton Wanderers,6 (1)
,Abou Diaby,France,Arsenal FC Arsenal FC,6 (0)
,Damien Duff,Ireland,Fulham FC Fulham FC,6 (0)
,Stephen Hunt,Ireland,Hull City Hull City,6 (1)
,Robbie Keane,Ireland,Tottenham Hotspur Tottenham Hotspur,6 (1)
,Niko Kranjčar,Croatia,Portsmouth FC Portsmouth FC,6 (0)
,,,Tottenham Hotspur Tottenham Hotspur,
,Mikel Arteta,Spain,Everton FC Everton FC,6 (2)
,David Nugent,England,Burnley FC Burnley FC,6 (0)
,,,Portsmouth FC Portsmouth FC,
50,Yakubu Ayegbeni,Nigeria,Everton FC Everton FC,5 (0)
,Lee Bowyer,England,Birmingham City Birmingham City,5 (0)
,Gary Cahill,England,Bolton Wanderers Bolton Wanderers,5 (0)
,Jody Craddock,England,Wolverhampton Wanderers Wolverhampton Wanderers,5 (0)
,Matthew Etherington,England,Stoke City Stoke City,5 (1)
,Guillermo Franco,Mexico,West Ham United West Ham United,5 (0)
,Ryan Giggs,Wales,Manchester United Manchester United,5 (2)
,Salomon Kalou,Ivory Coast,Chelsea FC Chelsea FC,5 (0)
,James McFadden,Scotland,Birmingham City Birmingham City,5 (2)
,Danny Murphy,England,Fulham FC Fulham FC,5 (3)
,David N'Gog,France,Liverpool FC Liverpool FC,5 (0)
,Charles N'Zogbia,France,Wigan Athletic Wigan Athletic,5 (0)
,Roman Pavlyuchenko,Russia,Tottenham Hotspur Tottenham Hotspur,5 (0)
,Frédéric Piquionne,Martinique,Portsmouth FC Portsmouth FC,5 (0)
,Jason Roberts,Grenada,Blackburn Rovers Blackburn Rovers,5 (0)
,Antonio Valencia,Ecuador,Manchester United Manchester United,5 (0)
,Ashley Young,England,Aston Villa Aston Villa,5 (1)
67,Ryan Babel,Netherlands,Liverpool FC Liverpool FC,4 (0)
,Michael Ballack,Germany,Chelsea FC Chelsea FC,4 (0)
,Jimmy Bullard,England,Hull City Hull City,4 (4)
,Fraizer Campbell,England,Sunderland AFC Sunderland AFC,4 (0)
,Ashley Cole,England,Chelsea FC Chelsea FC,4 (0)
,Denilson,Brazil,Arsenal FC Arsenal FC,4 (0)
,Eduardo,Croatia,Arsenal FC Arsenal FC,4 (0)
,Wade Elliott,England,Burnley FC Burnley FC,4 (0)
,Darren Fletcher,Scotland,Manchester United Manchester United,4 (0)
,Ilan,Brazil,West Ham United West Ham United,4 (0)
,Sebastian Larsson,Sweden,Birmingham City Birmingham City,4 (0)
,Chung-yong Lee,South Korea,Bolton Wanderers Bolton Wanderers,4 (0)
,Ryan Nelsen,New Zealand,Blackburn Rovers Blackburn Rovers,4 (0)
,Martin Paterson,Northern Ireland,Burnley FC Burnley FC,4 (0)
,Martin Petrov,Bulgaria,Manchester City Manchester City,4 (0)
,Kevin Phillips,England,Birmingham City Birmingham City,4 (0)
,Steven Pienaar,South Africa,Everton FC Everton FC,4 (0)
,Christopher Samba,Congo,Blackburn Rovers Blackburn Rovers,4 (0)
,Tuncay Şanlı,Turkey,Stoke City Stoke City,4 (0)
,Paul Scharner,Austria,Wigan Athletic Wigan Athletic,4 (0)
,Steven Thompson,Scotland,Burnley FC Burnley FC,4 (0)
,Shaun Wright-Phillips,England,Manchester City Manchester City,4 (0)
89,Gareth Bale,Wales,Tottenham Hotspur Tottenham Hotspur,3 (0)
,Nadir Belhadj,Algeria,Portsmouth FC Portsmouth FC,3 (0)
,Christian Benítez,Ecuador,Birmingham City Birmingham City,3 (0)
,Kevin-Prince Boateng,Ghana,Portsmouth FC Portsmouth FC,3 (1)
,Emmerson Boyce,Barbados,Wigan Athletic Wigan Athletic,3 (0)
,Tamir Cohen,Israel,Bolton Wanderers Bolton Wanderers,3 (0)
,El-Hadji Diouf,Senegal,Blackburn Rovers Blackburn Rovers,3 (0)
,Richard Dunne,Ireland,Aston Villa Aston Villa,3 (0)
,,,Manchester City Manchester City,
,Johan Elmander,Sweden,Bolton Wanderers Bolton Wanderers,3 (0)
,Michael Essien,Ghana,Chelsea FC Chelsea FC,3 (0)
,Ricardo Fuller,Jamaica,Stoke City Stoke City,3 (0)
,William Gallas,France,Arsenal FC Arsenal FC,3 (0)
,Géovanni,Brazil,Hull City Hull City,3 (0)
,Emile Heskey,England,Aston Villa Aston Villa,3 (0)
,Robert Huth,Germany,Stoke City Stoke City,3 (0)
,Matthew Jarvis,England,Wolverhampton Wanderers Wolverhampton Wanderers,3 (0)
,Glen Johnson,England,Liverpool FC Liverpool FC,3 (0)
,Younès Kaboul,France,Portsmouth FC Portsmouth FC,3 (0)
,,,Tottenham Hotspur Tottenham Hotspur,
,Dave Kitson,England,Stoke City Stoke City,3 (0)
,Aaron Lennon,England,Tottenham Hotspur Tottenham Hotspur,3 (0)
,Luka Modrić,Croatia,Tottenham Hotspur Tottenham Hotspur,3 (0)
,Nani,Portugal,Manchester United Manchester United,3 (0)
,Erik Nevland,Norway,Fulham FC Fulham FC,3 (0)
,Michael Owen,England,Manchester United Manchester United,3 (0)
,Ji-Sung Park,South Korea,Manchester United Manchester United,3 (0)
,Morten Gamst Pedersen,Norway,Blackburn Rovers Blackburn Rovers,3 (0)
,Aaron Ramsey,Wales,Arsenal FC Arsenal FC,3 (0)
,Liam Ridgewell,England,Birmingham City Birmingham City,3 (0)
,Tomáš Rosický,Czech Republic,Arsenal FC Arsenal FC,3 (0)
,Roque Santa Cruz,Paraguay,Manchester City Manchester City,3 (0)
,Paul Scholes,England,Manchester United Manchester United,3 (0)
,Matthew Upson,England,West Ham United West Ham United,3 (0)
,Jan Vennegoor of Hesselink,Netherlands,Hull City Hull City,3 (0)
,Theo Walcott,England,Arsenal FC Arsenal FC,3 (0)
123,Gareth Barry,England,Manchester City Manchester City,2 (0)
,James Beattie,England,Stoke City Stoke City,2 (1)
,Robbie Blake,England,Burnley FC Burnley FC,2 (0)
,Titus Bramble,England,Wigan Athletic Wigan Athletic,2 (0)
,Michael Brown,England,Portsmouth FC Portsmouth FC,2 (0)
,,,Wigan Athletic Wigan Athletic,
,Gary Caldwell,Scotland,Wigan Athletic Wigan Athletic,2 (0)
,Carlos Cuéllar,Spain,Aston Villa Aston Villa,2 (0)
,Michael Carrick,England,Manchester United Manchester United,2 (0)
,Joe Cole,England,Chelsea FC Chelsea FC,2 (0)
,Jack Collison,Wales,West Ham United West Ham United,2 (0)
,Michael Dawson,England,Tottenham Hotspur Tottenham Hotspur,2 (0)
,Deco,Portugal,Chelsea FC Chelsea FC,2 (0)
,Landon Donovan,USA,Everton FC Everton FC,2 (0)
,Stewart Downing,England,Aston Villa Aston Villa,2 (0)
,Chris Eagles,England,Burnley FC Burnley FC,2 (0)
,Sylvain Ebanks-Blake,England,Wolverhampton Wanderers Wolverhampton Wanderers,2 (1)
,Craig Fagan,England,Hull City Hull City,2 (1)
,Abdoulaye Faye,Senegal,Stoke City Stoke City,2 (0)
,Marouane Fellaini,Belgium,Everton FC Everton FC,2 (0)
,Caleb Folan,England,Hull City Hull City,2 (0)
,Zoltán Gera,Hungary,Fulham FC Fulham FC,2 (0)
,Darron Gibson,Ireland,Manchester United Manchester United,2 (0)
,Gaël Givet,France,Blackburn Rovers Blackburn Rovers,2 (0)
,Dan Gosling,England,Everton FC Everton FC,2 (0)
,Tom Huddlestone,England,Tottenham Hotspur Tottenham Hotspur,2 (0)
,Stephen Ireland,Ireland,Manchester City Manchester City,2 (0)
,Nikola Kalinić,Croatia,Blackburn Rovers Blackburn Rovers,2 (0)
,Nwankwo Kanu,Nigeria,Portsmouth FC Portsmouth FC,2 (0)
,Ledley King,England,Tottenham Hotspur Tottenham Hotspur,2 (0)
,Vincent Kompany,Belgium,Manchester City Manchester City,2 (0)
,Radoslav Kováč,Czech Republic,West Ham United West Ham United,2 (0)
,Manuel Da Costa,Morocco,West Ham United West Ham United,2 (0)
,Nenad Milijaš,Serbia,Wolverhampton Wanderers Wolverhampton Wanderers,2 (0)
,Steven N'Zonzi,France,Blackburn Rovers Blackburn Rovers,2 (0)
,Samir Nasri,France,Arsenal FC Arsenal FC,2 (0)
,Mark Noble,England,West Ham United West Ham United,2 (1)
,Jamie O'Hara,England,Portsmouth FC Portsmouth FC,2 (0)
,,,Tottenham Hotspur Tottenham Hotspur,
,Stefano Okaka,Italy,Fulham FC Fulham FC,2 (0)
,Leon Osman,England,Everton FC Everton FC,2 (0)
,Scott Parker,England,West Ham United West Ham United,2 (0)
,Andy Reid,Ireland,Sunderland AFC Sunderland AFC,2 (0)
,Micah Richards,England,Manchester City Manchester City,2 (0)
,Jack Rodwell,England,Everton FC Everton FC,2 (0)
,Ryan Shawcross,England,Stoke City Stoke City,2 (0)
,Mamady Sidibe,Mali,Stoke City Stoke City,2 (0)
,Junior Stanislas,England,West Ham United West Ham United,2 (0)
,John Terry,England,Chelsea FC Chelsea FC,2 (0)
,Glenn Whelan,Ireland,Stoke City Stoke City,2 (0)
,Hassan Yebda,Algeria,Portsmouth FC Portsmouth FC,2 (1)
,Kamil Zayatte,Guinea,Hull City Hull City,2 (0)
,Boudewijn Zenden,Netherlands,Sunderland AFC Sunderland AFC,2 (0)
174,Alex,Brazil,Chelsea FC Chelsea FC,1 (0)
,Jozy Altidore,USA,Hull City Hull City,1 (0)
,Anderson,Brazil,Manchester United Manchester United,1 (0)
,Keith Andrews,Ireland,Blackburn Rovers Blackburn Rovers,1 (1)
,Victor Anichebe,Nigeria,Everton FC Everton FC,1 (0)
,Alberto Aquilani,Italy,Liverpool FC Liverpool FC,1 (0)
,Benoît Assou-Ekotto,Cameroon,Tottenham Hotspur Tottenham Hotspur,1 (0)
,Will Atkinson,England,Hull City Hull City,1 (0)
,Leighton Baines,England,Everton FC Everton FC,1 (1)
,Sébastien Bassong,Cameroon,Tottenham Hotspur Tottenham Hotspur,1 (0)
,Valon Behrami,Switzerland,West Ham United West Ham United,1 (0)
,David Bentley,England,Tottenham Hotspur Tottenham Hotspur,1 (0)
,André Bikey,Cameroon,Burnley FC Burnley FC,1 (0)
,Boa Morte,Portugal,West Ham United West Ham United,1 (0)
,George Boateng,Netherlands,Hull City Hull City,1 (0)
,Tom Cairney,England,Hull City Hull City,1 (0)
,Steven Caldwell,Scotland,Burnley FC Burnley FC,1 (0)
,Pascal Chimbonda,France,Blackburn Rovers Blackburn Rovers,1 (0)
,James Collins,Wales,Aston Villa Aston Villa,1 (0)
,,,West Ham United West Ham United,
,Jack Cork,England,Burnley FC Burnley FC,1 (0)
,Vedran Ćorluka,Croatia,Tottenham Hotspur Tottenham Hotspur,1 (0)
,Mark Cullen,England,Hull City Hull City,1 (0)
,Curtis Davies,England,Aston Villa Aston Villa,1 (0)
,Andy Dawson,England,Hull City Hull City,1 (0)
,Nathan Delfouneso,England,Aston Villa Aston Villa,1 (0)
,Franco Di Santo,Argentina,Blackburn Rovers Blackburn Rovers,1 (0)
,Momo Diamé,Senegal,Wigan Athletic Wigan Athletic,1 (0)
,Salif Diao,Senegal,Stoke City Stoke City,1 (0)
,Mame Diouf,Senegal,Manchester United Manchester United,1 (0)
,Dave Edwards,Wales,Wolverhampton Wanderers Wolverhampton Wanderers,1 (0)
,David Elm,Sweden,Fulham FC Fulham FC,1 (0)
,Julien Faubert,Martinique,West Ham United West Ham United,1 (0)
,Maynor Figueroa,Honduras,Wigan Athletic Wigan Athletic,1 (0)
,Danny Fox,Scotland,Burnley FC Burnley FC,1 (0)
,Fran Mérida,Spain,Arsenal FC Arsenal FC,1 (0)
,Craig Gardner,England,Aston Villa Aston Villa,1 (0)
,,,Birmingham City Birmingham City,
,Ricardo Gardner,Jamaica,Bolton Wanderers Bolton Wanderers,1 (0)
,Kamel Ghilas,Algeria,Hull City Hull City,1 (0)
,Steve Gohouri,Ivory Coast,Wigan Athletic Wigan Athletic,1 (0)
,Jonathan Greening,England,Fulham FC Fulham FC,1 (0)
,Eiður Guðjohnsen,Iceland,Tottenham Hotspur Tottenham Hotspur,1 (0)
,Adlène Guédioura,Algeria,Wolverhampton Wanderers Wolverhampton Wanderers,1 (0)
,Brede Hangeland,Norway,Fulham FC Fulham FC,1 (0)
,Jordan Henderson,England,Sunderland AFC Sunderland AFC,1 (0)
,Danny Higginbotham,Gibraltar,Stoke City Stoke City,1 (0)
,Zavon Hines,Jamaica,West Ham United West Ham United,1 (0)
,Hermann Hreiðarsson,Iceland,Portsmouth FC Portsmouth FC,1 (0)
,Javi Garrido,Spain,Manchester City Manchester City,1 (0)
,Jermaine Jenas,England,Tottenham Hotspur Tottenham Hotspur,1 (0)
,Luis Jiménez,Chile,West Ham United West Ham United,1 (1)
,Adam Johnson,England,Manchester City Manchester City,1 (0)
,David Jones,England,Wolverhampton Wanderers Wolverhampton Wanderers,1 (0)
,Jordi Gómez,Spain,Wigan Athletic Wigan Athletic,1 (0)
,Diomansy Kamara,Senegal,Fulham FC Fulham FC,1 (0)
,Andy Keogh,Ireland,Wolverhampton Wanderers Wolverhampton Wanderers,1 (0)
,Kevin Kilbane,Ireland,Hull City Hull City,1 (0)
,Zat Knight,England,Bolton Wanderers Bolton Wanderers,1 (0)
,Paul Konchesky,England,Fulham FC Fulham FC,1 (0)
,Jason Koumas,Wales,Wigan Athletic Wigan Athletic,1 (0)
,Sotirios Kyrgiakos,Greece,Liverpool FC Liverpool FC,1 (0)
,Liam Lawrence,Ireland,Stoke City Stoke City,1 (0)
,Joleon Lescott,England,Everton FC Everton FC,1 (0)
,,,Manchester City Manchester City,
,Federico Macheda,Italy,Manchester United Manchester United,1 (0)
,Stefan Maierhofer,Austria,Wolverhampton Wanderers Wolverhampton Wanderers,1 (0)
,Dean Marney,England,Hull City Hull City,1 (0)
,Benny McCarthy,South Africa,Blackburn Rovers Blackburn Rovers,1 (0)
,,,West Ham United West Ham United,
,James McCarthy,Ireland,Wigan Athletic Wigan Athletic,1 (0)
,Kevin McDonald,Scotland,Burnley FC Burnley FC,1 (0)
,John Mensah,Ghana,Sunderland AFC Sunderland AFC,1 (0)
