#,Player,Country,Team,Goals (Penalty)
1,Kun Agüero,Argentina,Manchester City Manchester City,26 (5)
2,Harry Kane,England,Tottenham Hotspur Tottenham Hotspur,21 (2)
3,Diego Costa,Spain,Chelsea FC Chelsea FC,20 (1)
4,Charlie Austin,England,Queens Park Rangers Queens Park Rangers,18 (3)
5,Alexis Sánchez,Chile,Arsenal FC Arsenal FC,16 (0)
6,Saido Berahino,Burundi,West Bromwich Albion West Bromwich Albion,14 (4)
,Olivier Giroud,France,Arsenal FC Arsenal FC,14 (0)
,Eden Hazard,Belgium,Chelsea FC Chelsea FC,14 (3)
9,Christian Benteke,Belgium,Aston Villa Aston Villa,13 (1)
10,David Silva,Spain,Manchester City Manchester City,12 (0)
,Mame Diouf,Senegal,Stoke City Stoke City,12 (0)
,Graziano Pellè,Italy,Southampton FC Southampton FC,12 (0)
,Wayne Rooney,England,Manchester United Manchester United,12 (1)
14,Wilfried Bony,Ivory Coast,Manchester City Manchester City,11 (1)
,,,Swansea City Swansea City,
,Nacer Chadli,Belgium,Tottenham Hotspur Tottenham Hotspur,11 (0)
,Papiss Demba Cissé,Senegal,Newcastle United Newcastle United,11 (1)
,Danny Ings,England,Burnley FC Burnley FC,11 (1)
,Leonardo Ulloa,Argentina,Leicester City Leicester City,11 (2)
19,Christian Eriksen,Denmark,Tottenham Hotspur Tottenham Hotspur,10 (0)
,Romelu Lukaku,Belgium,Everton FC Everton FC,10 (2)
,Sadio Mané,Senegal,Southampton FC Southampton FC,10 (0)
,Diafra Sakho,Senegal,West Ham United West Ham United,10 (0)
,Yaya Touré,Ivory Coast,Manchester City Manchester City,10 (2)
,Robin van Persie,Netherlands,Manchester United Manchester United,10 (1)
25,Steven Gerrard,England,Liverpool FC Liverpool FC,9 (4)
,Mata,Spain,Manchester United Manchester United,9 (1)
27,Peter Crouch,England,Stoke City Stoke City,8 (0)
,Nikica Jelavić,Croatia,Hull City Hull City,8 (0)
,Sung-yueng Ki,South Korea,Swansea City Swansea City,8 (0)
,Jon Walters,Ireland,Stoke City Stoke City,8 (0)
31,Charlie Adam,Scotland,Stoke City Stoke City,7 (1)
,Ayoze Pérez,Spain,Newcastle United Newcastle United,7 (0)
,Bafétimbi Gomis,France,Swansea City Swansea City,7 (0)
,Kevin Mirallas,Belgium,Everton FC Everton FC,7 (0)
