#,Player,Country,Team,Assists
,Aaron Wan-Bissaka,England, Crystal Palace,3
,Oleksandr Zinchenko,Ukraine, Manchester City,3
105,Marc Albrighton,England, Leicester City,2
,Stuart Armstrong,Scotland, Southampton FC,2
,Serge Aurier,Ivory Coast, Tottenham Hotspur,2
,Charlie Austin,England, Southampton FC,2
,Jordan Ayew,Ghana, Crystal Palace,2
,Ayoze Pérez,Spain, Newcastle United,2
,Ashley Barnes,England, Burnley FC,2
,Harvey Barnes,England, Leicester City,2
,Dominic Calvert-Lewin,England, Everton FC,2
,Cédric Soares,Portugal, Southampton FC,2
,Séamus Coleman,Ireland, Everton FC,2
,Jack Cork,England, Burnley FC,2
,David Luiz,Brazil, Chelsea FC,2
,Kevin De Bruyne,Belgium, Manchester City,2
,Diogo Dalot,Portugal, Manchester United,2
,Fabinho,Brazil, Liverpool FC,2
,Simon Francis,England, AFC Bournemouth,2
,Andre Gray,England, Watford FC,2
,Idrissa Gueye,Senegal, Everton FC,2
,Hélder Costa,Portugal, Wolverhampton Wanderers,2
,Daryl Janmaat,Netherlands, Watford FC,2
,Michael Keane,England, Everton FC,2
,Cheikhou Kouyaté,Senegal, Crystal Palace,2
,Mateo Kovačić,Croatia, Chelsea FC,2
,Érik Lamela,Argentina, Tottenham Hotspur,2
,Jesse Lingard,England, Manchester United,2
,Ruben Loftus-Cheek,England, Chelsea FC,2
,Ademola Lookman,England, Everton FC,2
,Chris Löwe,Germany, Huddersfield Town,2
,Anthony Martial,France, Manchester United,2
,Mata,Spain, Manchester United,2
,Ben Mee,England, Burnley FC,2
,Max Meyer,Germany, Crystal Palace,2
,Luka Milivojević,Serbia, Crystal Palace,2
,Josh Murphy,England, Cardiff City,2
,Samir Nasri,France, West Ham United,2
,Mesut Özil,Germany, Arsenal FC,2
,Sokratis Papastathopoulos,Greece, Arsenal FC,2
,Pedro,Spain, Chelsea FC,2
,Bobby Reid,Jamaica, Cardiff City,2
,Ken Sema,Sweden, Watford FC,2
,Jean Michaël Seri,Ivory Coast, Fulham FC,2
,Lucas Torreira,Uruguay, Arsenal FC,2
,Patrick van Aanholt,Netherlands, Crystal Palace,2
,Virgil van Dijk,Netherlands, Liverpool FC,2
,Theo Walcott,England, Everton FC,2
,Chris Wood,New Zealand, Burnley FC,2
,Granit Xhaka,Switzerland, Arsenal FC,2
,DeAndre Yedlin,USA, Newcastle United,2
,Ashley Young,England, Manchester United,2
,Kurt Zouma,France, Everton FC,2
156,André Gomes,Portugal, Everton FC,1
,Andreas Pereira,Brazil, Manchester United,1
,Harry Arter,Ireland, Cardiff City,1
,Sol Bamba,Ivory Coast, Cardiff City,1
,Jan Bednarek,Poland, Southampton FC,1
,Joe Bennett,England, Cardiff City,1
,Christian Benteke,Belgium, Crystal Palace,1
,Bernardo,Brazil, Brighton & Hove Albion,1
,Robbie Brady,Ireland, Burnley FC,1
,Bruno,Spain, Brighton & Hove Albion,1
,Joe Bryan,England, Fulham FC,1
,Tom Cairney,England, Fulham FC,1
,Cyrus Christie,Ireland, Fulham FC,1
,Nathaniel Clyne,England, AFC Bournemouth,1
,,, Liverpool FC,
,Steve Cook,England, AFC Bournemouth,1
,Aaron Cresswell,England, West Ham United,1
,Scott Dann,England, Crystal Palace,1
,Steven Davis,Northern Ireland, Southampton FC,1
,Fabian Delph,England, Manchester City,1
,Laurent Depoitre,Belgium, Huddersfield Town,1
,Grady Diangana,England, West Ham United,1
,Shane Duffy,Ireland, Brighton & Hove Albion,1
,Lewis Dunk,England, Brighton & Hove Albion,1
,Erik Durm,Germany, Huddersfield Town,1
,Bruno Écuélé,Gabon, Cardiff City,1
,Ederson,Brazil, Manchester City,1
,Marouane Fellaini,Belgium, Manchester United,1
,Federico Fernández,Argentina, Newcastle United,1
,Fred,Brazil, Manchester United,1
,Morgan Gibbs-White,England, Wolverhampton Wanderers,1
,Dan Gosling,England, AFC Bournemouth,1
,Demarai Gray,England, Leicester City,1
,Aron Gunnarsson,Iceland, Cardiff City,1
,Javier Hernández,Mexico, West Ham United,1
,Jonathan Hogg,England, Huddersfield Town,1
,Junior Hoilett,Canada, Cardiff City,1
,Callum Hudson-Odoi,England, Chelsea FC,1
,Jordon Ibe,England, AFC Bournemouth,1
,Ivan Cavaleiro,Portugal, Wolverhampton Wanderers,1
,José Izquierdo,Colombia, Brighton & Hove Albion,1
,Phil Jones,England, Manchester United,1
,Jonny,Spain, Wolverhampton Wanderers,1
,Beram Kayal,Israel, Brighton & Hove Albion,1
,Naby Keïta,Guinea, Liverpool FC,1
,Kenedy,Brazil, Newcastle United,1
,Jonjoe Kenny,England, Everton FC,1
,Sung-yueng Ki,South Korea, Newcastle United,1
,Kiko Femenía,Spain, Watford FC,1
,Terence Kongolo,Netherlands, Huddersfield Town,1
,Manuel Lanzini,Argentina, West Ham United,1
,Jamaal Lascelles,England, Newcastle United,1
,Maxime Le Marchand,France, Fulham FC,1
,Mario Lemina,Gabon, Southampton FC,1
,Aaron Lennon,England, Burnley FC,1
,Léo Bonatini,Brazil, Wolverhampton Wanderers,1
,Victor Lindelöf,Sweden, Manchester United,1
,Kevin Long,Ireland, Burnley FC,1
,Shane Long,Ireland, Southampton FC,1
,Jonas Lössl,Denmark, Huddersfield Town,1
,Ainsley Maitland-Niles,England, Arsenal FC,1
,Sadio Mané,Senegal, Liverpool FC,1
,Martín Montoya,Spain, Brighton & Hove Albion,1
,Adam Masina,Italy, Watford FC,1
,Arthur Masuaku,Congo DR, West Ham United,1
,Isaac Mbenza,Belgium, Huddersfield Town,1
,Nathaniel Mendez-Laing,England, Cardiff City,1
,Chris Mepham,Wales, AFC Bournemouth,1
,Aaron Mooy,Australia, Huddersfield Town,1
,Jacob Murphy,England, Newcastle United,1
,Glenn Murray,England, Brighton & Hove Albion,1
,Georges-Kévin N'Koudou,France, Tottenham Hotspur,1
,Håvard Nordtveit,Norway, Fulham FC,1
,Michael Obafemi,Ireland, Southampton FC,1
,Denis Odoi,Belgium, Fulham FC,1
,Angelo Ogbonna,Italy, West Ham United,1
,Shinji Okazaki,Japan, Leicester City,1
,Divock Origi,Belgium, Liverpool FC,1
,Callum Paterson,Scotland, Cardiff City,1
,Pedro Obiang,Equatorial Guinea, West Ham United,1
,Roberto Pereyra,Argentina, Watford FC,1
,Davy Pröpper,Netherlands, Brighton & Hove Albion,1
,Richarlison,Brazil, Everton FC,1
,Davinson Sánchez,Colombia, Tottenham Hotspur,1
,Fabian Schär,Switzerland, Newcastle United,1
,Jeffrey Schlupp,Ghana, Crystal Palace,1
,Morgan Schneiderlin,France, Everton FC,1
,Jonjo Shelvey,England, Newcastle United,1
,Josh Sims,England, Southampton FC,1
,Adam Smith,England, AFC Bournemouth,1
,Dominic Solanke,England, AFC Bournemouth,1
,Dale Stephens,England, Brighton & Hove Albion,1
,Daniel Sturridge,England, Liverpool FC,1
,Isaac Success,Nigeria, Watford FC,1
,James Tarkowski,England, Burnley FC,1
,Charlie Taylor,England, Burnley FC,1
,James Tomkins,England, Crystal Palace,1
,Adama Traoré,Spain, Wolverhampton Wanderers,1
,Yan Valery,France, Southampton FC,1
,Matěj Vydra,Czech Republic, Burnley FC,1
,Kyle Walker,England, Manchester City,1
,Danny Welbeck,England, Arsenal FC,1
,Connor Wickham,England, Crystal Palace,1
,Jack Wilshere,England, West Ham United,1
,Maya Yoshida,Japan, Southampton FC,1
,Pablo Zabaleta,Argentina, West Ham United,1
,Zanka,Denmark, Huddersfield Town,1
,Kenneth Zohoré,Denmark, Cardiff City,1
