#,Player,Country,Team,Assists
1,Eden Hazard,Belgium, Chelsea FC,15
2,Ryan Fraser,Scotland, AFC Bournemouth,14
3,Trent Alexander-Arnold,England, Liverpool FC,12
,Christian Eriksen,Denmark, Tottenham Hotspur,12
5,Andrew Robertson,Scotland, Liverpool FC,11
6,Leroy Sané,Germany, Manchester City,10
7,Paul Pogba,France, Manchester United,9
,Raheem Sterling,England, Manchester City,9
,Callum Wilson,England, AFC Bournemouth,9
10,Kun Agüero,Argentina, Manchester City,8
,David Silva,Spain, Manchester City,8
,João Moutinho,Portugal, Wolverhampton Wanderers,8
,Alexandre Lacazette,France, Arsenal FC,8
,Matt Ritchie,Scotland, Newcastle United,8
,Mohamed Salah,Egypt, Liverpool FC,8
16,Bernardo Silva,Portugal, Manchester City,7
,Raúl Jiménez,Mexico, Wolverhampton Wanderers,7
,James Maddison,England, Leicester City,7
,Salomón Rondón,Venezuela, Newcastle United,7
,Ashley Westwood,England, Burnley FC,7
21,José Cholevas,Greece, Watford FC,6
,Abdoulaye Doucouré,France, Watford FC,6
,Jóhann Guðmundsson,Iceland, Burnley FC,6
,Alex Iwobi,Nigeria, Arsenal FC,6
,Anthony Knockaert,France, Brighton & Hove Albion,6
,James McArthur,Scotland, Crystal Palace,6
,Aaron Ramsey,Wales, Arsenal FC,6
,Marcus Rashford,England, Manchester United,6
,Ricardo Pereira,Portugal, Leicester City,6
,Roberto Firmino,Brazil, Liverpool FC,6
,Ryan Sessegnon,England, Fulham FC,6
,Gylfi Sigurðsson,Iceland, Everton FC,6
,Heung-min Son,South Korea, Tottenham Hotspur,6
,Willian,Brazil, Chelsea FC,6
35,Pierre-Emerick Aubameyang,Gabon, Arsenal FC,5
,Azpilicueta,Spain, Chelsea FC,5
,Ross Barkley,England, Chelsea FC,5
,David Brooks,Wales, AFC Bournemouth,5
,Troy Deeney,England, Watford FC,5
,Diogo Jota,Portugal, Wolverhampton Wanderers,5
,Matt Doherty,Ireland, Wolverhampton Wanderers,5
,Gerard Deulofeu,Spain, Watford FC,5
,Héctor Bellerín,Spain, Arsenal FC,5
,Sead Kolašinac,Bosnia-Herzegovina, Arsenal FC,5
,Solly March,England, Brighton & Hove Albion,5
,Dwight McNeil,England, Burnley FC,5
,Benjamin Mendy,France, Manchester City,5
,Mark Noble,England, West Ham United,5
,Robert Snodgrass,Scotland, West Ham United,5
,Wilfried Zaha,Ivory Coast, Crystal Palace,5
51,Michail Antonio,England, West Ham United,4
,Marko Arnautović,Austria, West Ham United,4
,Victor Camarasa,Spain, Cardiff City,4
,Ben Chilwell,England, Leicester City,4
,Lucas Digne,France, Everton FC,4
,Felipe Anderson,Brazil, West Ham United,4
,Olivier Giroud,France, Chelsea FC,4
,Isaac Hayden,England, Newcastle United,4
,Will Hughes,England, Watford FC,4
,Harry Kane,England, Tottenham Hotspur,4
,N'Golo Kanté,France, Chelsea FC,4
,Llorente,Spain, Tottenham Hotspur,4
,Riyad Mahrez,Algeria, Manchester City,4
,Marcos Alonso,Spain, Chelsea FC,4
,James Milner,England, Liverpool FC,4
,Henrikh Mkhitaryan,Armenia, Arsenal FC,4
,Nathan Redmond,England, Southampton FC,4
,Luke Shaw,England, Manchester United,4
,Youri Tielemans,Belgium, Leicester City,4
,Andros Townsend,England, Crystal Palace,4
,Jamie Vardy,England, Leicester City,4
,Luciano Vietto,Argentina, Fulham FC,4
73,Dele Alli,England, Tottenham Hotspur,3
,Ander Herrera,Spain, Manchester United,3
,Ryan Babel,Netherlands, Fulham FC,3
,Bernard,Brazil, Everton FC,3
,Étienne Capoue,France, Watford FC,3
,Fernandinho,Brazil, Manchester City,3
,Gabriel Jesus,Brazil, Manchester City,3
,Pascal Groß,Germany, Brighton & Hove Albion,3
,İlkay Gündoğan,Germany, Manchester City,3
,Jordan Henderson,England, Liverpool FC,3
,Pierre-Emile Højbjerg,Denmark, Southampton FC,3
,Kelechi Iheanacho,Nigeria, Leicester City,3
,Danny Ings,England, Southampton FC,3
,Joshua King,Norway, AFC Bournemouth,3
,Aymeric Laporte,France, Manchester City,3
,Manquillo,Spain, Newcastle United,3
,Aleksandar Mitrović,Serbia, Fulham FC,3
,Sean Morrison,England, Cardiff City,3
,Steve Mounié,Benin, Huddersfield Town,3
,Nacho Monreal,Spain, Arsenal FC,3
,Danny Rose,England, Tottenham Hotspur,3
,Rúben Neves,Portugal, Wolverhampton Wanderers,3
,Alexis Sánchez,Chile, Manchester United,3
,Xherdan Shaqiri,Switzerland, Liverpool FC,3
,Moussa Sissoko,France, Tottenham Hotspur,3
,Junior Stanislas,England, AFC Bournemouth,3
,Matt Targett,England, Southampton FC,3
,Cenk Tosun,Turkey, Everton FC,3
,Kieran Trippier,England, Tottenham Hotspur,3
,Kyle Walker-Peters,England, Tottenham Hotspur,3
