#,Player,Country,Team,Goals (Penalty)
,Kevin Doyle,Ireland,Wolverhampton Wanderers Wolverhampton Wanderers,4 (0)
,Chris Eagles,England,Bolton Wanderers Bolton Wanderers,4 (0)
,Mauro Fórmica,Argentina,Blackburn Rovers Blackburn Rovers,4 (0)
,Gervinho,Ivory Coast,Arsenal FC Arsenal FC,4 (0)
,Wes Hoolahan,Ireland,Norwich City Norwich City,4 (0)
,Cameron Jerome,England,Stoke City Stoke City,4 (0)
,Luka Modrić,Croatia,Tottenham Hotspur Tottenham Hotspur,4 (0)
,Leon Osman,England,Everton FC Everton FC,4 (0)
,Martin Petrov,Bulgaria,Bolton Wanderers Bolton Wanderers,4 (4)
,Stilian Petrov,Bulgaria,Aston Villa Aston Villa,4 (0)
,Steven Pienaar,South Africa,Everton FC Everton FC,4 (0)
,,,Tottenham Hotspur Tottenham Hotspur,
,Nigel Reo-Coker,England,Bolton Wanderers Bolton Wanderers,4 (0)
,Maxi Rodríguez,Argentina,Liverpool FC Liverpool FC,4 (0)
,Louis Saha,France,Everton FC Everton FC,4 (0)
,,,Tottenham Hotspur Tottenham Hotspur,
,Paul Scholes,England,Manchester United Manchester United,4 (0)
,Andrew Surman,South Africa,Norwich City Norwich City,4 (0)
,Carlos Tévez,Argentina,Manchester City Manchester City,4 (0)
,Antonio Valencia,Ecuador,Manchester United Manchester United,4 (0)
95,Joey Barton,England,Newcastle United Newcastle United,3 (0)
,,,Queens Park Rangers Queens Park Rangers,
,Emmerson Boyce,Barbados,Wigan Athletic Wigan Athletic,3 (0)
,Gary Cahill,England,Bolton Wanderers Bolton Wanderers,3 (0)
,,,Chelsea FC Chelsea FC,
,Gary Caldwell,Scotland,Wigan Athletic Wigan Athletic,3 (0)
,Momo Diamé,Senegal,Wigan Athletic Wigan Athletic,3 (0)
,Graham Dorrans,Scotland,West Bromwich Albion West Bromwich Albion,3 (0)
,Royston Drenthe,Netherlands,Everton FC Everton FC,3 (0)
,Dave Edwards,Wales,Wolverhampton Wanderers Wolverhampton Wanderers,3 (0)
,Matthew Etherington,England,Stoke City Stoke City,3 (0)
,Marouane Fellaini,Belgium,Everton FC Everton FC,3 (0)
,Craig Gardner,England,Sunderland AFC Sunderland AFC,3 (0)
,Stephen Hunt,Ireland,Wolverhampton Wanderers Wolverhampton Wanderers,3 (3)
,Robert Huth,Germany,Stoke City Stoke City,3 (0)
,Branislav Ivanović,Serbia,Chelsea FC Chelsea FC,3 (0)
,Simeon Jackson,Canada,Norwich City Norwich City,3 (0)
,Andy Johnson,England,Fulham FC Fulham FC,3 (0)
,Robbie Keane,Ireland,Aston Villa Aston Villa,3 (0)
,Michael Kightly,England,Wolverhampton Wanderers Wolverhampton Wanderers,3 (0)
,Vincent Kompany,Belgium,Manchester City Manchester City,3 (0)
,Aaron Lennon,England,Tottenham Hotspur Tottenham Hotspur,3 (0)
,Shaun Maloney,Scotland,Wigan Athletic Wigan Athletic,3 (1)
,James McArthur,Scotland,Wigan Athletic Wigan Athletic,3 (0)
,James Milner,England,Manchester City Manchester City,3 (1)
,Danny Murphy,England,Fulham FC Fulham FC,3 (2)
,David N'Gog,France,Bolton Wanderers Bolton Wanderers,3 (0)
,,,Liverpool FC Liverpool FC,
,Morten Gamst Pedersen,Norway,Blackburn Rovers Blackburn Rovers,3 (0)
,Paul Scharner,Austria,West Bromwich Albion West Bromwich Albion,3 (0)
,Apostolos Vellios,Greece,Everton FC Everton FC,3 (0)
,Stephen Ward,Ireland,Wolverhampton Wanderers Wolverhampton Wanderers,3 (0)
,Ben Watson,England,Wigan Athletic Wigan Athletic,3 (2)
125,Charlie Adam,Scotland,Liverpool FC Liverpool FC,2 (1)
,Marc Albrighton,England,Aston Villa Aston Villa,2 (0)
,Antolín Alcaráz,Paraguay,Wigan Athletic Wigan Athletic,2 (0)
,Shola Ameobi,Nigeria,Newcastle United Newcastle United,2 (0)
,Anderson,Brazil,Manchester United Manchester United,2 (0)
,André Santos,Brazil,Arsenal FC Arsenal FC,2 (0)
,Keith Andrews,Ireland,West Bromwich Albion West Bromwich Albion,2 (0)
,Benoît Assou-Ekotto,Cameroon,Tottenham Hotspur Tottenham Hotspur,2 (0)
,Jay Bothroyd,England,Queens Park Rangers Queens Park Rangers,2 (0)
,Chris Brunt,Northern Ireland,West Bromwich Albion West Bromwich Albion,2 (0)
,Ákos Buzsáky,Hungary,Queens Park Rangers Queens Park Rangers,2 (0)
,Tim Cahill,Australia,Everton FC Everton FC,2 (0)
,Michael Carrick,England,Manchester United Manchester United,2 (0)
,David Luiz,Brazil,Chelsea FC Chelsea FC,2 (0)
,Rory Delap,Ireland,Stoke City Stoke City,2 (0)
,Mousa Dembélé,Belgium,Fulham FC Fulham FC,2 (0)
,Damien Duff,Ireland,Fulham FC Fulham FC,2 (0)
,David Dunn,England,Blackburn Rovers Blackburn Rovers,2 (0)
,Marc-Antoine Fortuné,France,West Bromwich Albion West Bromwich Albion,2 (0)
,Ryan Giggs,Wales,Manchester United Manchester United,2 (0)
,David Goodwillie,Scotland,Blackburn Rovers Blackburn Rovers,2 (0)
,Jonás Gutiérrez,Argentina,Newcastle United Newcastle United,2 (0)
,Jordan Henderson,England,Liverpool FC Liverpool FC,2 (0)
,Thierry Henry,France,Arsenal FC Arsenal FC,2 (0)
,Phil Jagielka,England,Everton FC Everton FC,2 (0)
,Dong-won Ji,South Korea,Sunderland AFC Sunderland AFC,2 (0)
,Bradley Johnson,England,Norwich City Norwich City,2 (0)
,Aleksandar Kolarov,Serbia,Manchester City Manchester City,2 (0)
,Laurent Koscielny,France,Arsenal FC Arsenal FC,2 (0)
,Dirk Kuyt,Netherlands,Liverpool FC Liverpool FC,2 (0)
,Joleon Lescott,England,Manchester City Manchester City,2 (0)
,Leroy Lita,England,Swansea City Swansea City,2 (0)
,Florent Malouda,French Guyana,Chelsea FC Chelsea FC,2 (0)
,Russell Martin,Scotland,Norwich City Norwich City,2 (0)
,Gareth McAuley,Northern Ireland,West Bromwich Albion West Bromwich Albion,2 (0)
,Luke Moore,England,Swansea City Swansea City,2 (0)
,Charles N'Zogbia,France,Aston Villa Aston Villa,2 (0)
,Steven N'Zonzi,France,Blackburn Rovers Blackburn Rovers,2 (0)
,Jamie O'Hara,England,Wolverhampton Wanderers Wolverhampton Wanderers,2 (0)
,Jonas Olsson,Sweden,West Bromwich Albion West Bromwich Albion,2 (0)
,Alex Oxlade-Chamberlain,England,Arsenal FC Arsenal FC,2 (0)
,Ji-Sung Park,South Korea,Manchester United Manchester United,2 (0)
,Aaron Ramsey,Wales,Arsenal FC Arsenal FC,2 (0)
,Raúl Meireles,Portugal,Chelsea FC Chelsea FC,2 (0)
,,,Liverpool FC Liverpool FC,
,Kieran Richardson,England,Sunderland AFC Sunderland AFC,2 (0)
,Hugo Rodallega,Colombia,Wigan Athletic Wigan Athletic,2 (0)
,Jack Rodwell,England,Everton FC Everton FC,2 (0)
,Rubén Rochina,Spain,Blackburn Rovers Blackburn Rovers,2 (0)
,Bryan Ruiz,Costa Rica,Fulham FC Fulham FC,2 (0)
,Christopher Samba,Congo,Blackburn Rovers Blackburn Rovers,2 (0)
,Ryan Shawcross,England,Stoke City Stoke City,2 (0)
,Martin Škrtel,Slovakia,Liverpool FC Liverpool FC,2 (0)
,Tommy Smith,England,Queens Park Rangers Queens Park Rangers,2 (0)
,Adel Taarabt,Morocco,Queens Park Rangers Queens Park Rangers,2 (0)
,Ryan Taylor,England,Newcastle United Newcastle United,2 (0)
,David Vaughan,Wales,Sunderland AFC Sunderland AFC,2 (0)
,Kyle Walker,England,Tottenham Hotspur Tottenham Hotspur,2 (0)
,Stephen Warnock,England,Aston Villa Aston Villa,2 (0)
,Andreas Weimann,Austria,Aston Villa Aston Villa,2 (0)
,David Wheater,England,Bolton Wanderers Bolton Wanderers,2 (0)
,Luke Young,England,Aston Villa Aston Villa,2 (0)
,,,Queens Park Rangers Queens Park Rangers,
186,Daniel Agger,Denmark,Liverpool FC Liverpool FC,1 (0)
,Nicolas Anelka,France,Chelsea FC Chelsea FC,1 (0)
,Andrey Arshavin,Russia,Arsenal FC Arsenal FC,1 (0)
,Barry Bannan,Scotland,Aston Villa Aston Villa,1 (1)
,Phil Bardsley,Scotland,Sunderland AFC Sunderland AFC,1 (0)
,Leon Barnett,England,Norwich City Norwich City,1 (0)
,Gareth Barry,England,Manchester City Manchester City,1 (0)
,Elliott Bennett,Jamaica,Norwich City Norwich City,1 (0)
,Bosingwa,Portugal,Chelsea FC Chelsea FC,1 (0)
,Dedryck Boyata,Belgium,Bolton Wanderers Bolton Wanderers,1 (0)
,Titus Bramble,England,Sunderland AFC Sunderland AFC,1 (0)
,Wes Brown,England,Sunderland AFC Sunderland AFC,1 (0)
,DJ Campbell,England,Queens Park Rangers Queens Park Rangers,1 (0)
,Fraizer Campbell,England,Sunderland AFC Sunderland AFC,1 (0)
,Marouane Chamakh,Morocco,Arsenal FC Arsenal FC,1 (0)
,Ciaran Clark,Ireland,Aston Villa Aston Villa,1 (0)
,Sebastián Coates,Uruguay,Liverpool FC Liverpool FC,1 (0)
,Jack Colback,England,Sunderland AFC Sunderland AFC,1 (0)
,James Collins,Wales,Aston Villa Aston Villa,1 (0)
,Crusat,Spain,Wigan Athletic Wigan Athletic,1 (0)
,Scott Dann,England,Blackburn Rovers Blackburn Rovers,1 (0)
,Ritchie De Laet,Belgium,Norwich City Norwich City,1 (0)
,Shaun Derry,England,Queens Park Rangers Queens Park Rangers,1 (0)
,Samba Diakité,Mali,Queens Park Rangers Queens Park Rangers,1 (0)
,Mahamadou Diarra,Mali,Fulham FC Fulham FC,1 (0)
,Richard Dunne,Ireland,Aston Villa Aston Villa,1 (0)
,Sylvain Ebanks-Blake,England,Wolverhampton Wanderers Wolverhampton Wanderers,1 (0)
,Ahmed Elmohamady,Egypt,Sunderland AFC Sunderland AFC,1 (0)
,Jonny Evans,Northern Ireland,Manchester United Manchester United,1 (0)
,Alejandro Faurlín,Argentina,Queens Park Rangers Queens Park Rangers,1 (0)
,Darren Fletcher,Scotland,Manchester United Manchester United,1 (0)
,Kieran Gibbs,England,Arsenal FC Arsenal FC,1 (0)
,Darron Gibson,Ireland,Everton FC Everton FC,1 (0)
,,,Manchester United Manchester United,
,Dan Gosling,England,Newcastle United Newcastle United,1 (0)
,Magaye Gueye,Senegal,Everton FC Everton FC,1 (0)
,Danny Guthrie,England,Newcastle United Newcastle United,1 (0)
,Grant Hanley,Scotland,Blackburn Rovers Blackburn Rovers,1 (0)
,John Heitinga,Netherlands,Everton FC Everton FC,1 (0)
,Chris Herd,Australia,Aston Villa Aston Villa,1 (0)
,Emile Heskey,England,Aston Villa Aston Villa,1 (0)
,Tim Howard,USA,Everton FC Everton FC,1 (0)
,Jonny Howson,England,Norwich City Norwich City,1 (0)
,Stephen Ireland,Ireland,Aston Villa Aston Villa,1 (0)
,Glen Johnson,England,Liverpool FC Liverpool FC,1 (0)
,Kenwyne Jones,Trinidad & Tobago,Stoke City Stoke City,1 (0)
,Phil Jones,England,Manchester United Manchester United,1 (0)
,Younès Kaboul,France,Tottenham Hotspur Tottenham Hotspur,1 (0)
,Salomon Kalou,Ivory Coast,Chelsea FC Chelsea FC,1 (0)
,Niko Kranjčar,Croatia,Tottenham Hotspur Tottenham Hotspur,1 (0)
,Eric Lichaj,USA,Aston Villa Aston Villa,1 (0)
