#,Player,Country,Team,Goals (Penalty)
1,Harry Kane,England,Tottenham Hotspur Tottenham Hotspur,25 (5)
2,Kun Agüero,Argentina,Manchester City Manchester City,24 (4)
,Jamie Vardy,England,Leicester City Leicester City,24 (5)
4,Romelu Lukaku,Belgium,Everton FC Everton FC,18 (1)
5,Riyad Mahrez,Algeria,Leicester City Leicester City,17 (4)
6,Olivier Giroud,France,Arsenal FC Arsenal FC,16 (1)
,Odion Ighalo,Nigeria,Watford FC Watford FC,16 (0)
8,Jermain Defoe,England,Sunderland AFC Sunderland AFC,15 (1)
9,Troy Deeney,England,Watford FC Watford FC,13 (6)
,Alexis Sánchez,Chile,Arsenal FC Arsenal FC,13 (0)
11,André Ayew,Ghana,Swansea City Swansea City,12 (0)
,Diego Costa,Spain,Chelsea FC Chelsea FC,12 (0)
13,Marko Arnautović,Austria,Stoke City Stoke City,11 (3)
,Sadio Mané,Senegal,Southampton FC Southampton FC,11 (0)
,Anthony Martial,France,Manchester United Manchester United,11 (0)
,Graziano Pellè,Italy,Southampton FC Southampton FC,11 (0)
,Gylfi Sigurðsson,Iceland,Swansea City Swansea City,11 (3)
,Georginio Wijnaldum,Netherlands,Newcastle United Newcastle United,11 (1)
19,Dele Alli,England,Tottenham Hotspur Tottenham Hotspur,10 (0)
,Shane Long,Ireland,Southampton FC Southampton FC,10 (0)
,Roberto Firmino,Brazil,Liverpool FC Liverpool FC,10 (0)
22,Christian Benteke,Belgium,Liverpool FC Liverpool FC,9 (1)
,Andy Carroll,England,West Ham United West Ham United,9 (1)
,Aleksandar Mitrović,Serbia,Newcastle United Newcastle United,9 (2)
,Dimitri Payet,France,West Ham United West Ham United,9 (0)
,Salomón Rondón,Venezuela,West Bromwich Albion West Bromwich Albion,9 (0)
27,Michail Antonio,England,West Ham United West Ham United,8 (0)
,Ross Barkley,England,Everton FC Everton FC,8 (2)
,Coutinho,Brazil,Liverpool FC Liverpool FC,8 (0)
,Kelechi Iheanacho,Nigeria,Manchester City Manchester City,8 (0)
,Wayne Rooney,England,Manchester United Manchester United,8 (1)
,Daniel Sturridge,England,Liverpool FC Liverpool FC,8 (0)
,Dušan Tadić,Serbia,Southampton FC Southampton FC,8 (1)
34,Jordan Ayew,Ghana,Aston Villa Aston Villa,7 (1)
,Bojan,Spain,Stoke City Stoke City,7 (2)
,Kevin De Bruyne,Belgium,Manchester City Manchester City,7 (0)
,Dieumerci Mbokani,Congo DR,Norwich City Norwich City,7 (0)
,Mark Noble,England,West Ham United West Ham United,7 (3)
,Pedro,Spain,Chelsea FC Chelsea FC,7 (0)
40,Ayoze Pérez,Spain,Newcastle United Newcastle United,6 (0)
,Christian Eriksen,Denmark,Tottenham Hotspur Tottenham Hotspur,6 (0)
,Bafétimbi Gomis,France,Swansea City Swansea City,6 (1)
,Joshua King,Norway,AFC Bournemouth AFC Bournemouth,6 (0)
,Manuel Lanzini,Argentina,West Ham United West Ham United,6 (0)
,Mata,Spain,Manchester United Manchester United,6 (1)
,Mesut Özil,Germany,Arsenal FC Arsenal FC,6 (0)
,Nathan Redmond,England,Norwich City Norwich City,6 (0)
,Raheem Sterling,England,Manchester City Manchester City,6 (0)
,Yaya Touré,Ivory Coast,Manchester City Manchester City,6 (1)
,Leonardo Ulloa,Argentina,Leicester City Leicester City,6 (1)
,Patrick van Aanholt,Netherlands,Sunderland AFC Sunderland AFC,6 (0)
52,Yannick Bolasie,Congo DR,Crystal Palace Crystal Palace,5 (0)
,Fabio Borini,Italy,Sunderland AFC Sunderland AFC,5 (1)
,Yohan Cabaye,France,Crystal Palace Crystal Palace,5 (3)
,Cesc Fàbregas,Spain,Chelsea FC Chelsea FC,5 (2)
,Scott Dann,England,Crystal Palace Crystal Palace,5 (0)
,Steven Davis,Northern Ireland,Southampton FC Southampton FC,5 (0)
,Mame Diouf,Senegal,Stoke City Stoke City,5 (0)
,Rudy Gestede,Benin,Aston Villa Aston Villa,5 (0)
,Arouna Koné,Ivory Coast,Everton FC Everton FC,5 (0)
,Cheikhou Kouyaté,Senegal,West Ham United West Ham United,5 (0)
,Érik Lamela,Argentina,Tottenham Hotspur Tottenham Hotspur,5 (0)
,Aaron Lennon,England,Everton FC Everton FC,5 (0)
,James Milner,England,Liverpool FC Liverpool FC,5 (1)
,Shinji Okazaki,Japan,Leicester City Leicester City,5 (0)
,Divock Origi,Belgium,Liverpool FC Liverpool FC,5 (0)
,Aaron Ramsey,Wales,Arsenal FC Arsenal FC,5 (0)
,Marcus Rashford,England,Manchester United Manchester United,5 (0)
,Diafra Sakho,Senegal,West Ham United West Ham United,5 (0)
,Theo Walcott,England,Arsenal FC Arsenal FC,5 (0)
,Jon Walters,Ireland,Stoke City Stoke City,5 (0)
,Connor Wickham,England,Crystal Palace Crystal Palace,5 (1)
,Willian,Brazil,Chelsea FC Chelsea FC,5 (0)
,Callum Wilson,England,AFC Bournemouth AFC Bournemouth,5 (1)
75,Benik Afobe,Congo DR,AFC Bournemouth AFC Bournemouth,4 (0)
,Toby Alderweireld,Belgium,Tottenham Hotspur Tottenham Hotspur,4 (0)
,Saido Berahino,Burundi,West Bromwich Albion West Bromwich Albion,4 (0)
,Wilfried Bony,Ivory Coast,Manchester City Manchester City,4 (0)
,Steve Cook,England,AFC Bournemouth AFC Bournemouth,4 (0)
,Craig Dawson,England,West Bromwich Albion West Bromwich Albion,4 (0)
,Steven Fletcher,Scotland,Sunderland AFC Sunderland AFC,4 (0)
,Ramiro Funes Mori,Argentina,Everton FC Everton FC,4 (0)
,Eden Hazard,Belgium,Chelsea FC Chelsea FC,4 (0)
,Wes Hoolahan,Ireland,Norwich City Norwich City,4 (1)
,Joselu,Spain,Stoke City Stoke City,4 (0)
,Laurent Koscielny,France,Arsenal FC Arsenal FC,4 (0)
,Adam Lallana,England,Liverpool FC Liverpool FC,4 (0)
,Jesse Lingard,England,Manchester United Manchester United,4 (0)
,Kevin Mirallas,Belgium,Everton FC Everton FC,4 (0)
,Steven Naismith,Scotland,Everton FC Everton FC,4 (0)
,,,Norwich City Norwich City,
,Matt Ritchie,Scotland,AFC Bournemouth AFC Bournemouth,4 (0)
,Heung-min Son,South Korea,Tottenham Hotspur Tottenham Hotspur,4 (0)
,Andros Townsend,England,Newcastle United Newcastle United,4 (0)
,,,Tottenham Hotspur Tottenham Hotspur,
,Enner Valencia,Ecuador,West Ham United West Ham United,4 (0)
,Danny Welbeck,England,Arsenal FC Arsenal FC,4 (0)
