#,Player,Country,Team,Goals (Penalty)
1,Harry Kane,England,Tottenham Hotspur Tottenham Hotspur,29 (5)
2,Romelu Lukaku,Belgium,Everton FC Everton FC,25 (1)
3,Alexis Sánchez,Chile,Arsenal FC Arsenal FC,24 (2)
4,Kun Agüero,Argentina,Manchester City Manchester City,20 (4)
,Diego Costa,Spain,Chelsea FC Chelsea FC,20 (0)
6,Dele Alli,England,Tottenham Hotspur Tottenham Hotspur,18 (1)
7,Zlatan Ibrahimović,Sweden,Manchester United Manchester United,17 (2)
8,Eden Hazard,Belgium,Chelsea FC Chelsea FC,16 (2)
,Joshua King,Norway,AFC Bournemouth AFC Bournemouth,16 (2)
10,Christian Benteke,Belgium,Crystal Palace Crystal Palace,15 (2)
,Jermain Defoe,England,Sunderland AFC Sunderland AFC,15 (5)
,Llorente,Spain,Swansea City Swansea City,15 (0)
13,Heung-min Son,South Korea,Tottenham Hotspur Tottenham Hotspur,14 (0)
14,Coutinho,Brazil,Liverpool FC Liverpool FC,13 (0)
,Sadio Mané,Senegal,Liverpool FC Liverpool FC,13 (0)
,Jamie Vardy,England,Leicester City Leicester City,13 (0)
17,Olivier Giroud,France,Arsenal FC Arsenal FC,12 (0)
18,Roberto Firmino,Brazil,Liverpool FC Liverpool FC,11 (0)
19,Troy Deeney,England,Watford FC Watford FC,10 (3)
,Pedro,Spain,Chelsea FC Chelsea FC,10 (0)
,Sam Vokes,Wales,Burnley FC Burnley FC,10 (2)
,Theo Walcott,England,Arsenal FC Arsenal FC,10 (0)
23,Álvaro Negredo,Spain,Middlesbrough FC Middlesbrough FC,9 (2)
,Michail Antonio,England,West Ham United West Ham United,9 (0)
,Andre Gray,England,Burnley FC Burnley FC,9 (2)
,Gylfi Sigurðsson,Iceland,Swansea City Swansea City,9 (3)
27,Christian Eriksen,Denmark,Tottenham Hotspur Tottenham Hotspur,8 (0)
,Adam Lallana,England,Liverpool FC Liverpool FC,8 (0)
,Manuel Lanzini,Argentina,West Ham United West Ham United,8 (2)
,Mesut Özil,Germany,Arsenal FC Arsenal FC,8 (0)
,Salomón Rondón,Venezuela,West Bromwich Albion West Bromwich Albion,8 (0)
,Willian,Brazil,Chelsea FC Chelsea FC,8 (0)
33,Étienne Capoue,France,Watford FC Watford FC,7 (0)
,Andy Carroll,England,West Ham United West Ham United,7 (0)
,Peter Crouch,England,Stoke City Stoke City,7 (0)
,Gabriel Jesus,Brazil,Manchester City Manchester City,7 (1)
,James Milner,England,Liverpool FC Liverpool FC,7 (7)
,Divock Origi,Belgium,Liverpool FC Liverpool FC,7 (0)
,Nathan Redmond,England,Southampton FC Southampton FC,7 (0)
,Islam Slimani,Algeria,Leicester City Leicester City,7 (1)
,Robert Snodgrass,Scotland,Hull City Hull City,7 (2)
,,,West Ham United West Ham United,
,Junior Stanislas,England,AFC Bournemouth AFC Bournemouth,7 (2)
,Raheem Sterling,England,Manchester City Manchester City,7 (0)
,Wilfried Zaha,Ivory Coast,Crystal Palace Crystal Palace,7 (0)
45,Benik Afobe,Congo DR,AFC Bournemouth AFC Bournemouth,6 (0)
,Joe Allen,Wales,Stoke City Stoke City,6 (0)
,Marko Arnautović,Austria,Stoke City Stoke City,6 (0)
,Charlie Austin,England,Southampton FC Southampton FC,6 (2)
,André Ayew,Ghana,West Ham United West Ham United,6 (0)
,Ashley Barnes,England,Burnley FC Burnley FC,6 (2)
,Gary Cahill,England,Chelsea FC Chelsea FC,6 (0)
,Kevin De Bruyne,Belgium,Manchester City Manchester City,6 (0)
,Leroy Fer,Netherlands,Swansea City Swansea City,6 (0)
,Riyad Mahrez,Algeria,Leicester City Leicester City,6 (3)
,Marcos Alonso,Spain,Chelsea FC Chelsea FC,6 (0)
,Mata,Spain,Manchester United Manchester United,6 (0)
,Gareth McAuley,Northern Ireland,West Bromwich Albion West Bromwich Albion,6 (0)
,Georginio Wijnaldum,Netherlands,Liverpool FC Liverpool FC,6 (0)
,Callum Wilson,England,AFC Bournemouth AFC Bournemouth,6 (3)
60,Ross Barkley,England,Everton FC Everton FC,5 (0)
,Michy Batshuayi,Belgium,Chelsea FC Chelsea FC,5 (0)
,Emre Can,Germany,Liverpool FC Liverpool FC,5 (0)
,Cesc Fàbregas,Spain,Chelsea FC Chelsea FC,5 (0)
,Nacer Chadli,Belgium,West Bromwich Albion West Bromwich Albion,5 (1)
,James McArthur,Scotland,Crystal Palace Crystal Palace,5 (0)
,James Morrison,Scotland,West Bromwich Albion West Bromwich Albion,5 (0)
,Paul Pogba,France,Manchester United Manchester United,5 (0)
,Marcus Rashford,England,Manchester United Manchester United,5 (0)
