#,Player,Country,Team,Goals (Penalty)
1,Dominic Calvert-Lewin,England,Everton FC Everton FC,10 (0)
2,Heung-min Son,South Korea,Tottenham Hotspur Tottenham Hotspur,9 (0)
3,Mohamed Salah,Egypt,Liverpool FC Liverpool FC,8 (4)
,Jamie Vardy,England,Leicester City Leicester City,8 (5)
5,Patrick Bamford,England,Leeds United Leeds United,7 (0)
,Harry Kane,England,Tottenham Hotspur Tottenham Hotspur,7 (2)
7,Bruno Fernandes,Portugal,Manchester United Manchester United,6 (3)
,Ollie Watkins,England,Aston Villa Aston Villa,6 (1)
,Callum Wilson,England,Newcastle United Newcastle United,6 (3)
10,Danny Ings,England,Southampton FC Southampton FC,5 (1)
,Wilfried Zaha,Ivory Coast,Crystal Palace Crystal Palace,5 (2)
12,Diogo Jota,Portugal,Liverpool FC Liverpool FC,4 (0)
,,,Wolverhampton Wanderers Wolverhampton Wanderers,
,Jack Grealish,England,Aston Villa Aston Villa,4 (0)
,Raúl Jiménez,Mexico,Wolverhampton Wanderers Wolverhampton Wanderers,4 (0)
,Sadio Mané,Senegal,Liverpool FC Liverpool FC,4 (0)
,Neal Maupay,France,Brighton & Hove Albion Brighton & Hove Albion,4 (2)
,Timo Werner,Germany,Chelsea FC Chelsea FC,4 (0)
18,Tammy Abraham,England,Chelsea FC Chelsea FC,3 (0)
,Che Adams,England,Southampton FC Southampton FC,3 (0)
,Michail Antonio,England,West Ham United West Ham United,3 (0)
,Jarrod Bowen,England,West Ham United West Ham United,3 (0)
,Jorginho,Italy,Chelsea FC Chelsea FC,3 (3)
,Alexandre Lacazette,France,Arsenal FC Arsenal FC,3 (0)
,Bobby Reid,Jamaica,Fulham FC Fulham FC,3 (0)
,James Rodríguez,Colombia,Everton FC Everton FC,3 (0)
,Youri Tielemans,Belgium,Leicester City Leicester City,3 (2)
,James Ward-Prowse,England,Southampton FC Southampton FC,3 (0)
,Kurt Zouma,France,Chelsea FC Chelsea FC,3 (0)
