#,Player,Country,Team,Goals (Penalty)
1,Mohamed Salah,Egypt,Liverpool FC Liverpool FC,32 (1)
2,Harry Kane,England,Tottenham Hotspur Tottenham Hotspur,30 (2)
3,Kun Agüero,Argentina,Manchester City Manchester City,21 (4)
4,Jamie Vardy,England,Leicester City Leicester City,20 (5)
5,Raheem Sterling,England,Manchester City Manchester City,18 (1)
6,Romelu Lukaku,Belgium,Manchester United Manchester United,16 (0)
7,Roberto Firmino,Brazil,Liverpool FC Liverpool FC,15 (1)
8,Alexandre Lacazette,France,Arsenal FC Arsenal FC,14 (2)
9,Gabriel Jesus,Brazil,Manchester City Manchester City,13 (0)
10,Eden Hazard,Belgium,Chelsea FC Chelsea FC,12 (2)
,Riyad Mahrez,Algeria,Leicester City Leicester City,12 (0)
,Glenn Murray,England,Brighton & Hove Albion Brighton & Hove Albion,12 (4)
,Heung-min Son,South Korea,Tottenham Hotspur Tottenham Hotspur,12 (0)
14,Marko Arnautović,Austria,West Ham United West Ham United,11 (0)
,Morata,Spain,Chelsea FC Chelsea FC,11 (0)
16,Pierre-Emerick Aubameyang,Gabon,Arsenal FC Arsenal FC,10 (1)
,Christian Eriksen,Denmark,Tottenham Hotspur Tottenham Hotspur,10 (0)
,Sadio Mané,Senegal,Liverpool FC Liverpool FC,10 (0)
,Luka Milivojević,Serbia,Crystal Palace Crystal Palace,10 (7)
,Wayne Rooney,England,Everton FC Everton FC,10 (3)
,Leroy Sané,Germany,Manchester City Manchester City,10 (0)
,Chris Wood,New Zealand,Burnley FC Burnley FC,10 (0)
23,Dele Alli,England,Tottenham Hotspur Tottenham Hotspur,9 (0)
,Ashley Barnes,England,Burnley FC Burnley FC,9 (0)
,David Silva,Spain,Manchester City Manchester City,9 (0)
,Anthony Martial,France,Manchester United Manchester United,9 (1)
,Alexis Sánchez,Chile,Arsenal FC Arsenal FC,9 (1)
,,,Manchester United Manchester United,
,Wilfried Zaha,Ivory Coast,Crystal Palace Crystal Palace,9 (0)
29,Ayoze Pérez,Spain,Newcastle United Newcastle United,8 (0)
,Kevin De Bruyne,Belgium,Manchester City Manchester City,8 (0)
,Javier Hernández,Mexico,West Ham United West Ham United,8 (0)
,Joshua King,Norway,AFC Bournemouth AFC Bournemouth,8 (2)
,Jesse Lingard,England,Manchester United Manchester United,8 (0)
,Oumar Niasse,Senegal,Everton FC Everton FC,8 (0)
,Xherdan Shaqiri,Switzerland,Stoke City Stoke City,8 (0)
,Callum Wilson,England,AFC Bournemouth AFC Bournemouth,8 (0)
37,Charlie Austin,England,Southampton FC Southampton FC,7 (1)
,Jordan Ayew,Ghana,Swansea City Swansea City,7 (1)
,Coutinho,Brazil,Liverpool FC Liverpool FC,7 (0)
,Abdoulaye Doucouré,France,Watford FC Watford FC,7 (0)
,Olivier Giroud,France,Arsenal FC Arsenal FC,7 (0)
,,,Chelsea FC Chelsea FC,
,Pascal Groß,Germany,Brighton & Hove Albion Brighton & Hove Albion,7 (1)
,Marcos Alonso,Spain,Chelsea FC Chelsea FC,7 (0)
,Steve Mounié,Benin,Huddersfield Town Huddersfield Town,7 (0)
,Aaron Ramsey,Wales,Arsenal FC Arsenal FC,7 (0)
,Marcus Rashford,England,Manchester United Manchester United,7 (0)
,Jay Rodriguez,England,West Bromwich Albion West Bromwich Albion,7 (1)
,Salomón Rondón,Venezuela,West Bromwich Albion West Bromwich Albion,7 (0)
49,Bernardo Silva,Portugal,Manchester City Manchester City,6 (0)
,Laurent Depoitre,Belgium,Huddersfield Town Huddersfield Town,6 (0)
,Mame Diouf,Senegal,Stoke City Stoke City,6 (0)
,Dwight Gayle,England,Newcastle United Newcastle United,6 (0)
,Shinji Okazaki,Japan,Leicester City Leicester City,6 (0)
,Paul Pogba,France,Manchester United Manchester United,6 (0)
,Dušan Tadić,Serbia,Southampton FC Southampton FC,6 (1)
,Willian,Brazil,Chelsea FC Chelsea FC,6 (1)
57,Tammy Abraham,England,Swansea City Swansea City,5 (0)
,Eric Maxim Choupo-Moting,Cameroon,Stoke City Stoke City,5 (0)
,Peter Crouch,England,Stoke City Stoke City,5 (0)
,Troy Deeney,England,Watford FC Watford FC,5 (3)
