#,Player,Country,Team,Goals (Penalty)
1,Pierre-Emerick Aubameyang,Gabon,Arsenal FC Arsenal FC,22 (4)
,Sadio Mané,Senegal,Liverpool FC Liverpool FC,22 (0)
,Mohamed Salah,Egypt,Liverpool FC Liverpool FC,22 (3)
4,Kun Agüero,Argentina,Manchester City Manchester City,21 (2)
5,Jamie Vardy,England,Leicester City Leicester City,18 (4)
6,Harry Kane,England,Tottenham Hotspur Tottenham Hotspur,17 (4)
,Raheem Sterling,England,Manchester City Manchester City,17 (0)
8,Eden Hazard,Belgium,Chelsea FC Chelsea FC,16 (4)
9,Callum Wilson,England,AFC Bournemouth AFC Bournemouth,14 (1)
10,Raúl Jiménez,Mexico,Wolverhampton Wanderers Wolverhampton Wanderers,13 (2)
,Alexandre Lacazette,France,Arsenal FC Arsenal FC,13 (0)
,Glenn Murray,England,Brighton & Hove Albion Brighton & Hove Albion,13 (4)
,Paul Pogba,France,Manchester United Manchester United,13 (7)
,Richarlison,Brazil,Everton FC Everton FC,13 (0)
,Gylfi Sigurðsson,Iceland,Everton FC Everton FC,13 (2)
16,Ayoze Pérez,Spain,Newcastle United Newcastle United,12 (0)
,Ashley Barnes,England,Burnley FC Burnley FC,12 (2)
,Joshua King,Norway,AFC Bournemouth AFC Bournemouth,12 (5)
,Romelu Lukaku,Belgium,Manchester United Manchester United,12 (0)
,Luka Milivojević,Serbia,Crystal Palace Crystal Palace,12 (10)
,Roberto Firmino,Brazil,Liverpool FC Liverpool FC,12 (1)
,Heung-min Son,South Korea,Tottenham Hotspur Tottenham Hotspur,12 (0)
23,Aleksandar Mitrović,Serbia,Fulham FC Fulham FC,11 (1)
,Salomón Rondón,Venezuela,Newcastle United Newcastle United,11 (0)
25,Marko Arnautović,Austria,West Ham United West Ham United,10 (1)
,Gerard Deulofeu,Spain,Watford FC Watford FC,10 (0)
,Lucas,Brazil,Tottenham Hotspur Tottenham Hotspur,10 (0)
,Anthony Martial,France,Manchester United Manchester United,10 (1)
,Marcus Rashford,England,Manchester United Manchester United,10 (0)
,Leroy Sané,Germany,Manchester City Manchester City,10 (0)
,Chris Wood,New Zealand,Burnley FC Burnley FC,10 (0)
,Wilfried Zaha,Ivory Coast,Crystal Palace Crystal Palace,10 (0)
33,Troy Deeney,England,Watford FC Watford FC,9 (1)
,Diogo Jota,Portugal,Wolverhampton Wanderers Wolverhampton Wanderers,9 (0)
,Felipe Anderson,Brazil,West Ham United West Ham United,9 (0)
36,Christian Eriksen,Denmark,Tottenham Hotspur Tottenham Hotspur,8 (0)
,Pedro,Spain,Chelsea FC Chelsea FC,8 (0)
38,Bernardo Silva,Portugal,Manchester City Manchester City,7 (0)
,David Brooks,Wales,AFC Bournemouth AFC Bournemouth,7 (0)
,Ryan Fraser,Scotland,AFC Bournemouth AFC Bournemouth,7 (0)
,Gabriel Jesus,Brazil,Manchester City Manchester City,7 (1)
,Andre Gray,England,Watford FC Watford FC,7 (0)
,Javier Hernández,Mexico,West Ham United West Ham United,7 (0)
,Danny Ings,England,Southampton FC Southampton FC,7 (3)
,James Maddison,England,Leicester City Leicester City,7 (1)
,Riyad Mahrez,Algeria,Manchester City Manchester City,7 (0)
,James Ward-Prowse,England,Southampton FC Southampton FC,7 (1)
48,Michail Antonio,England,West Ham United West Ham United,6 (0)
,Dominic Calvert-Lewin,England,Everton FC Everton FC,6 (0)
,David Silva,Spain,Manchester City Manchester City,6 (0)
,İlkay Gündoğan,Germany,Manchester City Manchester City,6 (0)
,Ruben Loftus-Cheek,England,Chelsea FC Chelsea FC,6 (0)
,Henrikh Mkhitaryan,Armenia,Arsenal FC Arsenal FC,6 (0)
,Roberto Pereyra,Argentina,Watford FC Watford FC,6 (0)
,Nathan Redmond,England,Southampton FC Southampton FC,6 (0)
,André Schürrle,Germany,Fulham FC Fulham FC,6 (0)
,Xherdan Shaqiri,Switzerland,Liverpool FC Liverpool FC,6 (0)
,Andros Townsend,England,Crystal Palace Crystal Palace,6 (0)
59,Dele Alli,England,Tottenham Hotspur Tottenham Hotspur,5 (0)
,Ryan Babel,Netherlands,Fulham FC Fulham FC,5 (0)
,Michy Batshuayi,Belgium,Crystal Palace Crystal Palace,5 (0)
,Victor Camarasa,Spain,Cardiff City Cardiff City,5 (1)
,Abdoulaye Doucouré,France,Watford FC Watford FC,5 (0)
,Shane Duffy,Ireland,Brighton & Hove Albion Brighton & Hove Albion,5 (0)
,Gonzalo Higuaín,Argentina,Chelsea FC Chelsea FC,5 (0)
,Shane Long,Ireland,Southampton FC Southampton FC,5 (0)
,James Milner,England,Liverpool FC Liverpool FC,5 (3)
,Morata,Spain,Chelsea FC Chelsea FC,5 (0)
,Mark Noble,England,West Ham United West Ham United,5 (4)
,Mesut Özil,Germany,Arsenal FC Arsenal FC,5 (0)
,Bobby Reid,Jamaica,Cardiff City Cardiff City,5 (1)
,Theo Walcott,England,Everton FC Everton FC,5 (0)
73,Nathan Aké,Netherlands,AFC Bournemouth AFC Bournemouth,4 (0)
,Sol Bamba,Ivory Coast,Cardiff City Cardiff City,4 (0)
,Willy Boly,France,Wolverhampton Wanderers Wolverhampton Wanderers,4 (0)
,Lucas Digne,France,Everton FC Everton FC,4 (0)
,Matt Doherty,Ireland,Wolverhampton Wanderers Wolverhampton Wanderers,4 (0)
,Karlan Grant,England,Huddersfield Town Huddersfield Town,4 (0)
,Demarai Gray,England,Leicester City Leicester City,4 (0)
,Pierre-Emile Højbjerg,Denmark,Southampton FC Southampton FC,4 (0)
,N'Golo Kanté,France,Chelsea FC Chelsea FC,4 (0)
,Érik Lamela,Argentina,Tottenham Hotspur Tottenham Hotspur,4 (0)
,Jesse Lingard,England,Manchester United Manchester United,4 (1)
,Nathaniel Mendez-Laing,England,Cardiff City Cardiff City,4 (1)
,Callum Paterson,Scotland,Cardiff City Cardiff City,4 (0)
,Aaron Ramsey,Wales,Arsenal FC Arsenal FC,4 (0)
,Rúben Neves,Portugal,Wolverhampton Wanderers Wolverhampton Wanderers,4 (2)
,Fabian Schär,Switzerland,Newcastle United Newcastle United,4 (0)
,Jeffrey Schlupp,Ghana,Crystal Palace Crystal Palace,4 (0)
,Virgil van Dijk,Netherlands,Liverpool FC Liverpool FC,4 (0)
,Granit Xhaka,Switzerland,Arsenal FC Arsenal FC,4 (0)
92,Florin Andone,Romania,Brighton & Hove Albion Brighton & Hove Albion,3 (0)
,Stuart Armstrong,Scotland,Southampton FC Southampton FC,3 (0)
,Ross Barkley,England,Chelsea FC Chelsea FC,3 (0)
,Craig Cathcart,Northern Ireland,Watford FC Watford FC,3 (0)
,José Cholevas,Greece,Watford FC Watford FC,3 (0)
,Ciaran Clark,Ireland,Newcastle United Newcastle United,3 (0)
,David Luiz,Brazil,Chelsea FC Chelsea FC,3 (0)
,Eric Dier,England,Tottenham Hotspur Tottenham Hotspur,3 (0)
,Pascal Groß,Germany,Brighton & Hove Albion Brighton & Hove Albion,3 (1)
,Jóhann Guðmundsson,Iceland,Burnley FC Burnley FC,3 (0)
,Jeff Hendrick,Ireland,Burnley FC Burnley FC,3 (0)
,Junior Hoilett,Canada,Cardiff City Cardiff City,3 (0)
,Ivan Cavaleiro,Portugal,Wolverhampton Wanderers Wolverhampton Wanderers,3 (0)
,Alex Iwobi,Nigeria,Arsenal FC Arsenal FC,3 (0)
,Aboubakar Kamara,France,Fulham FC Fulham FC,3 (1)
,Laurent Koscielny,France,Arsenal FC Arsenal FC,3 (0)
,Aymeric Laporte,France,Manchester City Manchester City,3 (0)
,Lucas Pérez,Spain,West Ham United West Ham United,3 (0)
,Harry Maguire,England,Leicester City Leicester City,3 (0)
,Mata,Spain,Manchester United Manchester United,3 (0)
,James McArthur,Scotland,Crystal Palace Crystal Palace,3 (0)
,Dwight McNeil,England,Burnley FC Burnley FC,3 (0)
,Aaron Mooy,Australia,Huddersfield Town Huddersfield Town,3 (1)
,Wes Morgan,Jamaica,Leicester City Leicester City,3 (0)
,Josh Murphy,England,Cardiff City Cardiff City,3 (0)
,Divock Origi,Belgium,Liverpool FC Liverpool FC,3 (0)
,James Tarkowski,England,Burnley FC Burnley FC,3 (0)
,Youri Tielemans,Belgium,Leicester City Leicester City,3 (0)
,Cenk Tosun,Turkey,Everton FC Everton FC,3 (0)
,Patrick van Aanholt,Netherlands,Crystal Palace Crystal Palace,3 (0)
,Sam Vokes,Wales,Burnley FC Burnley FC,3 (0)
,Georginio Wijnaldum,Netherlands,Liverpool FC Liverpool FC,3 (0)
,Willian,Brazil,Chelsea FC Chelsea FC,3 (0)
,Zanka,Denmark,Huddersfield Town Huddersfield Town,3 (0)
126,Marc Albrighton,England,Leicester City Leicester City,2 (0)
,Ander Herrera,Spain,Manchester United Manchester United,2 (0)
,Charlie Austin,England,Southampton FC Southampton FC,2 (0)
,Philip Billing,Denmark,Huddersfield Town Huddersfield Town,2 (0)
,Calum Chambers,England,Fulham FC Fulham FC,2 (0)
,Séamus Coleman,Ireland,Everton FC Everton FC,2 (0)
,Kevin De Bruyne,Belgium,Manchester City Manchester City,2 (0)
,Leander Dendoncker,Belgium,Wolverhampton Wanderers Wolverhampton Wanderers,2 (0)
,Lewis Dunk,England,Brighton & Hove Albion Brighton & Hove Albion,2 (0)
,Olivier Giroud,France,Chelsea FC Chelsea FC,2 (0)
,Dan Gosling,England,AFC Bournemouth AFC Bournemouth,2 (0)
,Will Hughes,England,Watford FC Watford FC,2 (0)
,Jorginho,Italy,Chelsea FC Chelsea FC,2 (1)
,Joselu,Spain,Newcastle United Newcastle United,2 (0)
,Naby Keïta,Guinea,Liverpool FC Liverpool FC,2 (0)
,Anthony Knockaert,France,Brighton & Hove Albion Brighton & Hove Albion,2 (0)
,Jefferson Lerma,Colombia,AFC Bournemouth AFC Bournemouth,2 (0)
,Jürgen Locadia,Netherlands,Brighton & Hove Albion Brighton & Hove Albion,2 (0)
,Marcos Alonso,Spain,Chelsea FC Chelsea FC,2 (0)
,Scott McTominay,Scotland,Manchester United Manchester United,2 (0)
,Steve Mounié,Benin,Huddersfield Town Huddersfield Town,2 (0)
,Shkodran Mustafi,Germany,Arsenal FC Arsenal FC,2 (0)
,Wilfred Ndidi,Nigeria,Leicester City Leicester City,2 (0)
,Alex Pritchard,England,Huddersfield Town Huddersfield Town,2 (0)
,Ricardo Pereira,Portugal,Leicester City Leicester City,2 (0)
,Declan Rice,England,West Ham United West Ham United,2 (0)
,Matt Ritchie,Scotland,Newcastle United Newcastle United,2 (1)
,Romain Saïss,Morocco,Wolverhampton Wanderers Wolverhampton Wanderers,2 (0)
,Ryan Sessegnon,England,Fulham FC Fulham FC,2 (0)
,Robert Snodgrass,Scotland,West Ham United West Ham United,2 (0)
,Junior Stanislas,England,AFC Bournemouth AFC Bournemouth,2 (1)
,Daniel Sturridge,England,Liverpool FC Liverpool FC,2 (0)
,Lucas Torreira,Uruguay,Arsenal FC Arsenal FC,2 (0)
,Yan Valery,France,Southampton FC Southampton FC,2 (0)
,Ashley Westwood,England,Burnley FC Burnley FC,2 (0)
,Andrey Yarmolenko,Ukraine,West Ham United West Ham United,2 (0)
,Ashley Young,England,Manchester United Manchester United,2 (0)
,Kurt Zouma,France,Everton FC Everton FC,2 (0)
164,Trent Alexander-Arnold,England,Liverpool FC Liverpool FC,1 (0)
,André Gomes,Portugal,Everton FC Everton FC,1 (0)
,Andreas Pereira,Brazil,Manchester United Manchester United,1 (0)
,Christian Atsu,Ghana,Newcastle United Newcastle United,1 (0)
,Jordan Ayew,Ghana,Crystal Palace Crystal Palace,1 (0)
,Floyd Ayité,Togo,Fulham FC Fulham FC,1 (0)
,Azpilicueta,Spain,Chelsea FC Chelsea FC,1 (0)
,Juninho Bacuna,Curaçao,Huddersfield Town Huddersfield Town,1 (0)
,Fabián Balbuena,Paraguay,West Ham United West Ham United,1 (0)
,Leon Balogun,Nigeria,Brighton & Hove Albion Brighton & Hove Albion,1 (0)
,Harvey Barnes,England,Leicester City Leicester City,1 (0)
,Ryan Bennett,England,Wolverhampton Wanderers Wolverhampton Wanderers,1 (0)
,Christian Benteke,Belgium,Crystal Palace Crystal Palace,1 (0)
,Bernard,Brazil,Everton FC Everton FC,1 (0)
,Ryan Bertrand,England,Southampton FC Southampton FC,1 (0)
,Tom Cairney,England,Fulham FC Fulham FC,1 (0)
,Étienne Capoue,France,Watford FC Watford FC,1 (0)
,Cédric Soares,Portugal,Southampton FC Southampton FC,1 (0)
,Tom Cleverley,England,Watford FC Watford FC,1 (0)
,Steve Cook,England,AFC Bournemouth AFC Bournemouth,1 (0)
,Jack Cork,England,Burnley FC Burnley FC,1 (0)
,Charlie Daniels,England,AFC Bournemouth AFC Bournemouth,1 (0)
,Danilo,Brazil,Manchester City Manchester City,1 (0)
,Issa Diop,France,West Ham United West Ham United,1 (0)
,Domingos Quina,Portugal,Watford FC Watford FC,1 (0)
,Jonny Evans,Northern Ireland,Leicester City Leicester City,1 (0)
,Fabinho,Brazil,Liverpool FC Liverpool FC,1 (0)
,Fernandinho,Brazil,Manchester City Manchester City,1 (0)
,Phil Foden,England,Manchester City Manchester City,1 (0)
,Juan Foyth,Argentina,Tottenham Hotspur Tottenham Hotspur,1 (0)
,Fred,Brazil,Manchester United Manchester United,1 (0)
,Ryan Fredericks,England,West Ham United West Ham United,1 (0)
,Manolo Gabbiadini,Italy,Southampton FC Southampton FC,1 (0)
,Rachid Ghezzal,Algeria,Leicester City Leicester City,1 (0)
,Ben Gibson,England,Burnley FC Burnley FC,1 (0)
,Aron Gunnarsson,Iceland,Cardiff City Cardiff City,1 (0)
,Kadeem Harris,England,Cardiff City Cardiff City,1 (0)
,Isaac Hayden,England,Newcastle United Newcastle United,1 (0)
,Hélder Costa,Portugal,Wolverhampton Wanderers Wolverhampton Wanderers,1 (0)
,Jordan Henderson,England,Liverpool FC Liverpool FC,1 (0)
,Jordon Ibe,England,AFC Bournemouth AFC Bournemouth,1 (0)
,Kelechi Iheanacho,Nigeria,Leicester City Leicester City,1 (0)
,Phil Jagielka,England,Everton FC Everton FC,1 (0)
,João Moutinho,Portugal,Wolverhampton Wanderers Wolverhampton Wanderers,1 (0)
,Jonny,Spain,Wolverhampton Wanderers Wolverhampton Wanderers,1 (0)
,Beram Kayal,Israel,Brighton & Hove Albion Brighton & Hove Albion,1 (0)
,Michael Keane,England,Everton FC Everton FC,1 (0)
,Kenedy,Brazil,Newcastle United Newcastle United,1 (0)
,Kiko Femenía,Spain,Watford FC Watford FC,1 (0)
,Vincent Kompany,Belgium,Manchester City Manchester City,1 (0)
,Terence Kongolo,Netherlands,Huddersfield Town Huddersfield Town,1 (0)
,Manuel Lanzini,Argentina,West Ham United West Ham United,1 (0)
,Mario Lemina,Gabon,Southampton FC Southampton FC,1 (0)
,Aaron Lennon,England,Burnley FC Burnley FC,1 (0)
,Victor Lindelöf,Sweden,Manchester United Manchester United,1 (0)
,Llorente,Spain,Tottenham Hotspur Tottenham Hotspur,1 (0)
,Sean Longstaff,England,Newcastle United Newcastle United,1 (0)
,Dejan Lovren,Croatia,Liverpool FC Liverpool FC,1 (0)
,Ainsley Maitland-Niles,England,Arsenal FC Arsenal FC,1 (0)
,Solly March,England,Brighton & Hove Albion Brighton & Hove Albion,1 (0)
,Nemanja Matić,Serbia,Manchester United Manchester United,1 (0)
,Joel Matip,Cameroon,Liverpool FC Liverpool FC,1 (0)
,Isaac Mbenza,Belgium,Huddersfield Town Huddersfield Town,1 (0)
,Max Meyer,Germany,Crystal Palace Crystal Palace,1 (0)
,Yerry Mina,Colombia,Everton FC Everton FC,1 (0)
,Sean Morrison,England,Cardiff City Cardiff City,1 (0)
,Lys Mousset,France,AFC Bournemouth AFC Bournemouth,1 (0)
,Yoshinori Mutō,Japan,Newcastle United Newcastle United,1 (0)
,Nacho Monreal,Spain,Arsenal FC Arsenal FC,1 (0)
,Eddie Nketiah,England,Arsenal FC Arsenal FC,1 (0)
,Michael Obafemi,Ireland,Southampton FC Southampton FC,1 (0)
,Angelo Ogbonna,Italy,West Ham United West Ham United,1 (0)
,Oriol Romeu,Spain,Southampton FC Southampton FC,1 (0)
,Sokratis Papastathopoulos,Greece,Arsenal FC Arsenal FC,1 (0)
,Davy Pröpper,Netherlands,Brighton & Hove Albion Brighton & Hove Albion,1 (0)
,Antonio Rüdiger,Germany,Chelsea FC Chelsea FC,1 (0)
,Alexis Sánchez,Chile,Manchester United Manchester United,1 (0)
,Davinson Sánchez,Colombia,Tottenham Hotspur Tottenham Hotspur,1 (0)
,Christopher Schindler,Germany,Huddersfield Town Huddersfield Town,1 (0)
,Ken Sema,Sweden,Watford FC Watford FC,1 (0)
,Jean Michaël Seri,Ivory Coast,Fulham FC Fulham FC,1 (0)
,Luke Shaw,England,Manchester United Manchester United,1 (0)
,Jonjo Shelvey,England,Newcastle United Newcastle United,1 (0)
,Chris Smalling,England,Manchester United Manchester United,1 (0)
,Adam Smith,England,AFC Bournemouth AFC Bournemouth,1 (0)
,Jon Stanković,Slovenia,Huddersfield Town Huddersfield Town,1 (0)
,Dale Stephens,England,Brighton & Hove Albion Brighton & Hove Albion,1 (0)
,Jack Stephens,England,Southampton FC Southampton FC,1 (0)
,Isaac Success,Nigeria,Watford FC Watford FC,1 (0)
,Matt Targett,England,Southampton FC Southampton FC,1 (0)
,James Tomkins,England,Crystal Palace Crystal Palace,1 (0)
,Adama Traoré,Spain,Wolverhampton Wanderers Wolverhampton Wanderers,1 (0)
,Kieran Trippier,England,Tottenham Hotspur Tottenham Hotspur,1 (0)
,Jan Vertonghen,Belgium,Tottenham Hotspur Tottenham Hotspur,1 (0)
,Luciano Vietto,Argentina,Fulham FC Fulham FC,1 (0)
,Matěj Vydra,Czech Republic,Burnley FC Burnley FC,1 (0)
,Kyle Walker,England,Manchester City Manchester City,1 (0)
,Victor Wanyama,Kenya,Tottenham Hotspur Tottenham Hotspur,1 (0)
,Danny Ward,England,Cardiff City Cardiff City,1 (0)
,Joel Ward,England,Crystal Palace Crystal Palace,1 (0)
,Danny Welbeck,England,Arsenal FC Arsenal FC,1 (0)
,Harry Winks,England,Tottenham Hotspur Tottenham Hotspur,1 (0)
,DeAndre Yedlin,USA,Newcastle United Newcastle United,1 (0)
,Kenneth Zohoré,Denmark,Cardiff City Cardiff City,1 (0)
